date,day,type,reactions,comments,shares
2010-05-31 12:24:57, 1, video, 1273, 0, 0
2010-06-02 14:00:53, 3, video, 1371, 0, 0
2010-06-04 14:12:38, 5, link, 1372, 0, 0
2010-06-07 08:51:59, 1, link, 489, 0, 0
2010-06-07 15:43:27, 1, link, 964, 0, 0
2010-06-08 15:41:10, 2, link, 1170, 96, 0
2010-06-09 15:25:55, 3, link, 685, 53, 0
2010-06-11 13:58:55, 5, photo, 13, 0, 0
2010-06-11 14:04:37, 5, photo, 2055, 130, 0
2010-06-14 09:42:53, 1, photo, 1186, 67, 0
2010-06-15 15:30:17, 2, link, 1038, 109, 0
2010-06-16 15:42:58, 3, video, 1172, 121, 0
2010-06-18 14:22:52, 5, photo, 3570, 298, 0
2010-06-22 15:44:24, 2, link, 2056, 182, 0
2010-06-23 16:07:06, 3, link, 1312, 165, 0
2010-06-25 09:49:02, 5, photo, 3316, 444, 0
2010-06-28 15:48:36, 1, photo, 3755, 346, 0
2010-06-29 15:56:39, 2, photo, 1377, 174, 0
2010-06-30 15:54:57, 3, photo, 5977, 551, 0
2010-07-01 15:23:33, 4, photo, 4597, 773, 0
2010-07-02 10:13:45, 5, photo, 1619, 112, 0
2010-07-02 15:08:57, 5, photo, 5118, 520, 0
2010-07-05 12:17:21, 1, photo, 7217, 533, 0
2010-07-06 11:53:56, 2, photo, 5411, 442, 0
2010-07-06 15:10:26, 2, photo, 2312, 128, 0
2010-07-07 15:17:27, 3, video, 3631, 285, 0
2010-07-09 10:15:11, 5, video, 5377, 512, 0
2010-07-12 15:30:26, 1, link, 3929, 321, 0
2010-07-14 14:43:08, 3, link, 2372, 317, 0
2010-07-15 14:04:58, 4, photo, 4968, 418, 0
2010-07-16 10:25:21, 5, photo, 5230, 1121, 0
2010-07-19 15:25:58, 1, photo, 1907, 177, 0
2010-07-20 12:27:48, 2, link, 3077, 234, 0
2010-07-21 15:21:20, 3, photo, 4941, 350, 0
2010-07-22 15:56:47, 4, photo, 4491, 325, 0
2010-07-23 15:36:04, 5, photo, 5357, 795, 0
2010-07-26 16:01:49, 1, video, 5341, 472, 0
2010-07-28 15:13:06, 3, link, 3968, 289, 0
2010-08-03 15:36:35, 2, video, 5388, 324, 0
2010-08-09 16:39:54, 1, video, 9597, 553, 0
2010-08-11 13:49:08, 3, link, 3210, 382, 0
2010-08-13 15:31:27, 5, photo, 8724, 2444, 0
2010-08-17 14:50:44, 2, video, 5143, 289, 0
2010-08-19 15:02:27, 4, video, 11338, 1130, 0
2010-08-20 14:57:15, 5, link, 9297, 536, 0
2010-08-23 16:17:33, 1, link, 5030, 305, 0
2010-08-25 15:32:12, 3, link, 7058, 384, 0
2010-08-27 16:02:08, 5, photo, 6345, 1004, 0
2010-08-30 16:48:22, 1, photo, 7083, 302, 0
2010-08-31 16:10:01, 2, video, 7778, 526, 0
2010-09-01 16:18:37, 3, video, 3673, 227, 0
2010-09-03 15:17:53, 5, photo, 4717, 233, 0
2010-09-06 16:35:07, 1, link, 3418, 148, 0
2010-09-08 16:30:48, 3, link, 5806, 426, 0
2010-09-10 14:36:48, 5, link, 3121, 218, 0
2010-09-15 14:54:47, 3, photo, 7057, 1652, 0
2010-09-17 13:53:28, 5, photo, 6385, 328, 0
2010-09-20 15:14:56, 1, photo, 18520, 1531, 0
2010-09-22 13:16:28, 3, photo, 14954, 1027, 0
2010-09-24 14:23:33, 5, link, 1989, 90, 0
2010-09-27 15:39:46, 1, link, 3300, 164, 0
2010-09-28 16:32:45, 2, photo, 7705, 539, 0
2010-10-01 15:28:01, 5, link, 3426, 190, 0
2010-10-02 18:33:01, 6, photo, 12499, 596, 0
2010-10-04 17:14:43, 1, video, 5510, 247, 0
2010-10-05 15:05:23, 2, photo, 9839, 445, 0
2010-10-07 15:42:36, 4, photo, 7241, 319, 0
2010-10-08 17:36:37, 5, video, 2854, 164, 0
2010-10-11 17:25:01, 1, video, 11037, 571, 0
2010-10-15 16:07:25, 5, link, 6378, 333, 0
2010-10-19 17:07:46, 2, photo, 10558, 472, 0
2010-10-21 15:14:46, 4, video, 8643, 507, 0
2010-10-22 14:32:52, 5, photo, 11340, 1340, 0
2010-10-26 16:39:33, 2, photo, 9697, 456, 0
2010-10-27 15:18:22, 3, video, 8429, 421, 0
2010-11-02 17:20:54, 2, photo, 13879, 940, 0
2010-11-03 15:39:52, 3, video, 7850, 535, 0
2010-11-05 16:23:32, 5, photo, 13262, 717, 0
2010-11-10 17:48:36, 3, photo, 5959, 260, 0
2010-11-11 15:10:18, 4, photo, 4135, 165, 0
2010-11-12 22:21:37, 5, video, 4449, 318, 0
2010-11-15 16:16:55, 1, link, 6575, 309, 0
2010-11-16 16:06:31, 2, video, 7972, 434, 0
2010-11-17 13:20:13, 3, video, 10971, 918, 0
2010-11-18 16:35:58, 4, photo, 14127, 840, 0
2010-11-22 16:32:58, 1, video, 7283, 429, 0
2010-11-25 22:23:03, 4, video, 7964, 510, 0
2010-11-26 15:36:25, 5, video, 9249, 561, 0
2010-11-29 16:42:35, 1, video, 17098, 1246, 0
2010-12-01 16:07:03, 3, photo, 13482, 536, 0
2010-12-02 16:36:11, 4, photo, 4754, 177, 0
2010-12-08 16:58:24, 3, video, 6548, 268, 0
2010-12-09 16:37:10, 4, link, 6045, 555, 0
2010-12-10 17:55:57, 5, link, 11299, 436, 0
2010-12-12 15:42:07, 7, photo, 8728, 417, 0
2010-12-14 16:25:23, 2, video, 6796, 346, 0
2010-12-16 18:26:39, 4, video, 9524, 533, 0
2010-12-17 14:29:31, 5, photo, 5677, 179, 0
2010-12-20 15:15:41, 1, video, 15521, 805, 0
2010-12-21 15:36:53, 2, video, 8424, 416, 0
2010-12-23 22:33:00, 4, video, 4255, 205, 0
2010-12-24 10:15:25, 5, status, 8059, 612, 0
2010-12-27 07:34:20, 1, video, 10106, 597, 0
2011-01-03 17:11:55, 1, photo, 18412, 872, 0
2011-01-05 15:20:38, 3, video, 8173, 630, 0
2011-01-10 17:48:34, 1, photo, 14891, 675, 0
2011-01-12 16:19:10, 3, video, 9695, 614, 0
2011-01-14 16:43:20, 5, link, 6738, 236, 0
2011-01-17 20:22:16, 1, photo, 18529, 944, 0
2011-01-18 14:42:42, 2, video, 5902, 350, 0
2011-01-19 17:30:31, 3, photo, 15174, 839, 0
2011-01-20 20:35:01, 4, video, 4453, 172, 0
2011-01-21 15:55:19, 5, video, 5770, 341, 0
2011-01-24 17:13:02, 1, video, 7905, 455, 0
2011-01-25 15:40:23, 2, photo, 9248, 329, 0
2011-02-02 16:30:19, 3, video, 6010, 599, 0
2011-02-03 17:42:13, 4, photo, 13489, 1036, 0
2011-02-09 16:58:28, 3, video, 9758, 577, 0
2011-02-10 17:46:48, 4, video, 17975, 1766, 0
2011-02-11 17:19:58, 5, photo, 13314, 549, 0
2011-02-15 17:11:58, 2, video, 7710, 397, 0
2011-02-17 18:54:41, 4, photo, 22732, 1515, 0
2011-02-18 17:25:23, 5, photo, 7468, 1179, 0
2011-02-20 16:23:45, 7, photo, 7906, 320, 0
2011-02-21 17:33:21, 1, link, 4027, 193, 0
2011-02-22 17:29:11, 2, video, 4863, 212, 0
2011-02-23 17:37:21, 3, photo, 10574, 451, 0
2011-02-24 16:15:33, 4, video, 4419, 207, 0
2011-03-01 18:09:08, 2, photo, 15226, 777, 0
2011-03-03 17:17:37, 4, photo, 13388, 567, 0
2011-03-04 16:53:47, 5, video, 12159, 731, 0
2011-03-08 16:00:04, 2, photo, 6406, 217, 0
2011-03-10 16:46:11, 4, video, 2955, 86, 0
2011-03-11 14:54:53, 5, photo, 11962, 4023, 0
2011-03-14 17:26:16, 1, photo, 13626, 700, 0
2011-03-16 15:24:39, 3, video, 9832, 670, 0
2011-03-18 16:44:15, 5, photo, 15719, 2393, 0
2011-03-22 15:24:00, 2, video, 4615, 230, 0
2011-03-23 16:03:13, 3, video, 2652, 76, 0
2011-03-24 16:26:50, 4, link, 5863, 230, 0
2011-03-25 16:26:48, 5, photo, 10604, 656, 0
2011-03-28 15:34:25, 1, photo, 10973, 895, 0
2011-04-01 15:07:29, 5, photo, 23846, 3409, 0
2011-04-04 17:45:20, 1, photo, 17869, 760, 0
2011-04-05 15:31:47, 2, video, 13896, 849, 0
2011-04-06 16:25:05, 3, video, 4386, 166, 0
2011-04-08 14:51:45, 5, photo, 14511, 722, 0
2011-04-12 16:23:13, 2, photo, 25545, 1410, 0
2011-04-13 15:15:16, 3, photo, 22723, 915, 0
2011-04-15 15:30:54, 5, photo, 16766, 1107, 0
2011-04-19 16:37:44, 2, link, 5107, 141, 0
2011-04-20 17:31:27, 3, video, 9829, 407, 0
2011-04-21 15:40:01, 4, photo, 10042, 2137, 0
2011-04-28 01:38:40, 4, link, 5699, 273, 0
2011-04-28 16:06:44, 4, video, 5767, 266, 0
2011-04-29 14:55:11, 5, video, 6309, 309, 0
2011-05-02 16:23:56, 1, photo, 18076, 850, 0
2011-05-03 16:33:48, 2, video, 3638, 98, 0
2011-05-05 16:15:37, 4, link, 4166, 90, 0
2011-05-06 14:22:14, 5, question, 0, 0, 0
2011-05-09 09:47:50, 1, status, 0, 0, 0
2011-05-09 16:03:42, 1, status, 0, 0, 0
2011-05-10 16:29:37, 2, video, 9849, 569, 0
2011-05-11 15:29:56, 3, video, 3628, 120, 0
2011-05-17 15:16:30, 2, link, 8149, 338, 0
2011-05-18 17:17:42, 3, video, 5237, 202, 0
2011-05-19 17:25:02, 4, photo, 14642, 606, 0
2011-05-20 15:21:06, 5, video, 3403, 90, 0
2011-05-23 16:00:48, 1, photo, 20733, 1167, 0
2011-05-26 17:35:03, 4, photo, 13480, 519, 0
2011-05-27 15:58:31, 5, question, 0, 0, 0
2011-05-31 16:43:23, 2, video, 13658, 768, 0
2011-06-01 14:45:07, 3, video, 8817, 423, 0
2011-06-03 14:39:36, 5, status, 4336, 4067, 0
2011-06-06 16:14:12, 1, photo, 8776, 593, 0
2011-06-07 14:48:47, 2, status, 0, 0, 0
2011-06-08 15:57:02, 3, video, 8426, 493, 0
2011-06-09 15:59:44, 4, video, 12559, 1097, 0
2011-06-10 15:47:20, 5, question, 0, 0, 0
2011-06-16 16:27:18, 4, video, 8472, 489, 0
2011-06-17 15:33:38, 5, photo, 33368, 2039, 0
2011-06-21 12:04:54, 2, status, 0, 0, 0
2011-06-21 12:08:18, 2, status, 0, 0, 0
2011-06-21 12:12:42, 2, status, 0, 0, 0
2011-06-21 12:42:16, 2, status, 0, 0, 0
2011-06-21 12:48:38, 2, status, 0, 0, 0
2011-06-21 12:58:27, 2, status, 0, 0, 0
2011-06-21 13:17:35, 2, status, 0, 0, 0
2011-06-21 15:49:25, 2, video, 13702, 732, 0
2011-06-22 10:05:58, 3, status, 0, 0, 0
2011-06-22 15:11:42, 3, question, 0, 0, 0
2011-06-24 15:51:30, 5, video, 9762, 570, 0
2011-06-25 13:50:28, 6, link, 4102, 236, 0
2011-06-27 16:00:49, 1, photo, 26418, 1172, 0
2011-06-28 10:36:46, 2, status, 0, 0, 0
2011-06-28 15:18:59, 2, status, 0, 0, 0
2011-06-28 16:26:10, 2, video, 8346, 511, 0
2011-06-29 16:15:45, 3, photo, 25088, 1269, 0
2011-06-30 13:53:31, 4, status, 0, 0, 0
2011-07-01 15:05:15, 5, link, 3203, 107, 0
2011-07-04 16:04:52, 1, photo, 26624, 1412, 0
2011-07-05 15:52:19, 2, photo, 19296, 789, 0
2011-07-06 06:15:10, 3, status, 0, 0, 0
2011-07-06 06:26:28, 3, status, 0, 0, 0
2011-07-06 08:45:59, 3, status, 0, 0, 0
2011-07-06 09:19:27, 3, status, 0, 0, 0
2011-07-07 13:15:26, 4, status, 0, 0, 0
2011-07-07 16:41:08, 4, link, 5104, 226, 0
2011-07-08 16:06:47, 5, question, 0, 0, 0
2011-07-11 16:20:36, 1, video, 6535, 338, 0
2011-07-12 12:35:42, 2, status, 0, 0, 0
2011-07-13 12:11:07, 3, status, 0, 0, 0
2011-07-13 12:17:32, 3, status, 0, 0, 0
2011-07-13 12:21:56, 3, status, 0, 0, 0
2011-07-13 15:02:14, 3, status, 0, 0, 0
2011-07-13 17:34:14, 3, video, 2054, 58, 0
2011-07-14 16:13:28, 4, link, 4523, 141, 0
2011-07-15 10:10:48, 5, status, 0, 0, 0
2011-07-15 15:27:32, 5, video, 6923, 235, 0
2011-07-18 15:50:47, 1, photo, 26883, 1372, 0
2011-07-19 15:42:33, 2, question, 0, 0, 0
2011-07-20 13:16:07, 3, status, 0, 0, 0
2011-07-20 16:31:50, 3, photo, 45188, 2898, 0
2011-07-25 07:46:54, 1, status, 0, 0, 0
2011-07-25 07:50:57, 1, status, 0, 0, 0
2011-07-25 09:11:15, 1, status, 0, 0, 0
2011-07-25 16:19:27, 1, video, 8111, 391, 0
2011-07-26 07:50:42, 2, status, 0, 0, 0
2011-07-26 17:06:01, 2, photo, 16728, 640, 0
2011-07-27 08:48:55, 3, status, 0, 0, 0
2011-07-27 16:28:11, 3, photo, 18457, 794, 0
2011-07-28 13:45:02, 4, status, 0, 0, 0
2011-07-28 13:46:01, 4, status, 0, 0, 0
2011-07-28 13:46:43, 4, status, 0, 0, 0
2011-07-29 16:00:22, 5, photo, 19170, 987, 0
2011-08-01 09:07:12, 1, status, 0, 0, 0
2011-08-01 16:17:36, 1, video, 8484, 588, 0
2011-08-02 07:07:05, 2, status, 0, 0, 0
2011-08-02 11:19:51, 2, status, 0, 0, 0
2011-08-02 15:53:28, 2, photo, 4787, 131, 0
2011-08-03 09:53:28, 3, status, 0, 0, 0
2011-08-03 10:34:07, 3, status, 0, 0, 0
2011-08-03 15:34:55, 3, photo, 21465, 1117, 0
2011-08-05 15:37:10, 5, question, 0, 0, 0
2011-08-08 07:29:26, 1, status, 0, 0, 0
2011-08-08 10:32:02, 1, status, 0, 0, 0
2011-08-08 16:05:50, 1, link, 7219, 227, 0
2011-08-09 16:34:39, 2, video, 8858, 401, 0
2011-08-10 07:28:35, 3, status, 0, 0, 0
2011-08-10 15:29:35, 3, photo, 13463, 392, 0
2011-08-11 08:30:05, 4, status, 0, 0, 0
2011-08-12 16:00:05, 5, photo, 23269, 1364, 0
2011-08-15 16:04:56, 1, photo, 35435, 2174, 0
2011-08-17 16:17:49, 3, video, 4958, 307, 0
2011-08-19 15:53:21, 5, photo, 23255, 999, 0
2011-08-22 09:01:41, 1, status, 0, 0, 0
2011-08-22 16:26:13, 1, photo, 15692, 975, 0
2011-08-23 16:19:44, 2, video, 13734, 628, 0
2011-08-24 14:54:36, 3, status, 0, 0, 0
2011-08-24 16:50:03, 3, photo, 19655, 975, 0
2011-08-25 15:28:54, 4, video, 10352, 512, 0
2011-08-26 15:31:51, 5, photo, 11850, 371, 0
2011-08-29 15:45:25, 1, status, 0, 0, 0
2011-08-29 15:58:59, 1, status, 0, 0, 0
2011-08-29 16:15:11, 1, status, 0, 0, 0
2011-08-29 16:15:41, 1, status, 0, 0, 0
2011-08-29 16:46:29, 1, photo, 15848, 788, 0
2011-08-30 12:42:43, 2, status, 0, 0, 0
2011-08-30 14:09:01, 2, status, 0, 0, 0
2011-08-30 16:01:44, 2, video, 9277, 380, 0
2011-08-31 09:07:07, 3, status, 0, 0, 0
2011-08-31 12:14:35, 3, status, 0, 0, 0
2011-08-31 15:37:02, 3, photo, 38724, 1748, 0
2011-09-01 08:07:47, 4, status, 0, 0, 0
2011-09-01 08:13:22, 4, status, 0, 0, 0
2011-09-01 13:55:39, 4, status, 0, 0, 0
2011-09-01 13:56:19, 4, status, 0, 0, 0
2011-09-01 14:00:09, 4, status, 0, 0, 0
2011-09-01 16:10:51, 4, video, 10670, 732, 0
2011-09-02 16:13:04, 5, link, 9289, 353, 0
2011-09-05 09:04:03, 1, status, 0, 0, 0
2011-09-05 15:07:48, 1, status, 0, 0, 0
2011-09-05 16:18:53, 1, photo, 29551, 2523, 0
2011-09-07 09:12:11, 3, status, 0, 0, 0
2011-09-07 16:16:45, 3, photo, 8447, 301, 0
2011-09-09 16:16:21, 5, status, 6667, 5904, 0
2011-09-12 09:07:41, 1, status, 0, 0, 0
2011-09-12 09:07:48, 1, status, 0, 0, 0
2011-09-12 09:12:07, 1, status, 0, 0, 0
2011-09-12 12:04:36, 1, status, 0, 0, 0
2011-09-12 16:11:07, 1, link, 11464, 467, 0
2011-09-13 15:43:05, 2, status, 0, 0, 0
2011-09-13 16:47:26, 2, photo, 20418, 582, 0
2011-09-14 08:35:27, 3, status, 0, 0, 0
2011-09-14 16:36:38, 3, photo, 5830, 267, 0
2011-09-15 08:17:24, 4, status, 0, 0, 0
2011-09-15 08:51:27, 4, status, 0, 0, 0
2011-09-16 08:37:21, 5, status, 0, 0, 0
2011-09-16 15:30:02, 5, photo, 23337, 693, 0
2011-09-19 08:32:21, 1, status, 0, 0, 0
2011-09-19 09:12:40, 1, status, 0, 0, 0
2011-09-19 15:56:18, 1, photo, 32477, 1435, 0
2011-09-21 09:22:39, 3, status, 0, 0, 0
2011-09-21 12:21:25, 3, status, 0, 0, 0
2011-09-21 15:51:39, 3, link, 4362, 121, 0
2011-09-23 15:24:34, 5, video, 9943, 445, 0
2011-09-27 10:24:21, 2, status, 0, 0, 0
2011-09-27 11:34:53, 2, status, 0, 0, 0
2011-09-27 15:19:34, 2, photo, 29814, 967, 0
2011-09-28 08:45:01, 3, status, 0, 0, 0
2011-09-28 15:19:17, 3, video, 17678, 858, 0
2011-09-30 15:54:07, 5, photo, 21333, 654, 0
2011-10-04 11:29:40, 2, status, 0, 0, 0
2011-10-04 13:20:28, 2, status, 0, 0, 0
2011-10-05 15:51:52, 3, video, 10166, 387, 0
2011-10-06 10:03:58, 4, status, 0, 0, 0
2011-10-06 16:14:30, 4, photo, 13092, 453, 0
2011-10-07 12:37:32, 5, status, 0, 0, 0
2011-10-07 15:38:26, 5, video, 11448, 557, 0
2011-10-10 08:20:37, 1, status, 0, 0, 0
2011-10-10 08:27:32, 1, status, 0, 0, 0
2011-10-10 16:06:53, 1, photo, 43478, 2164, 0
2011-10-11 15:51:26, 2, link, 7112, 305, 0
2011-10-13 16:39:12, 4, photo, 8366, 503, 0
2011-10-14 16:03:55, 5, photo, 30630, 1164, 0
2011-10-17 11:29:56, 1, status, 0, 0, 0
2011-10-17 11:34:54, 1, status, 0, 0, 0
2011-10-17 11:37:05, 1, status, 0, 0, 0
2011-10-17 11:38:12, 1, status, 0, 0, 0
2011-10-17 16:28:09, 1, video, 12791, 449, 0
2011-10-18 15:52:34, 2, link, 4753, 133, 0
2011-10-20 07:49:33, 4, status, 0, 0, 0
2011-10-20 09:00:16, 4, status, 0, 0, 0
2011-10-20 16:00:47, 4, video, 13192, 539, 0
2011-10-24 10:11:48, 1, status, 0, 0, 0
2011-10-24 16:24:15, 1, photo, 20840, 644, 0
2011-10-25 16:24:14, 2, status, 0, 0, 0
2011-10-25 16:37:10, 2, video, 7501, 259, 0
