date,day,type,reactions,comments,shares
2012-02-01 09:10:44, 3, photo, 55, 22, 2
2012-02-02 14:41:36, 4, video, 23, 0, 0
2012-02-03 13:23:03, 5, photo, 55, 6, 0
2012-02-07 08:38:31, 2, photo, 59, 2, 12
2012-02-08 09:56:23, 3, link, 11, 0, 0
2012-02-10 06:51:24, 5, video, 25, 1, 0
2012-02-15 11:38:50, 3, photo, 26, 2, 0
2012-02-16 14:45:12, 4, video, 10, 0, 0
2012-02-17 09:35:34, 5, photo, 14, 0, 0
2012-02-20 07:48:59, 1, photo, 64, 7, 13
2012-02-24 15:24:00, 5, video, 21, 2, 0
2012-02-27 08:28:55, 1, photo, 21, 1, 1
2012-02-28 13:48:27, 2, video, 35, 12, 0
2012-02-29 13:39:06, 3, photo, 24, 3, 0
2012-03-02 12:23:02, 5, photo, 38, 3, 0
2012-03-05 10:43:37, 1, photo, 16, 0, 0
2012-03-06 11:34:07, 2, photo, 10, 0, 0
2012-03-07 15:23:31, 3, photo, 17, 0, 0
2012-03-11 11:43:01, 7, photo, 37, 1, 0
2012-03-12 13:07:19, 1, link, 9, 2, 0
2012-03-13 11:55:20, 2, photo, 54, 1, 13
2012-03-14 15:04:58, 3, video, 18, 6, 0
2012-03-16 16:28:45, 5, photo, 26, 0, 0
2012-03-19 10:24:18, 1, video, 17, 0, 0
2012-03-21 11:14:35, 3, photo, 22, 2, 0
2012-03-22 12:58:15, 4, video, 24, 0, 0
2012-03-23 05:34:42, 5, link, 13, 0, 0
2012-03-27 11:02:22, 2, link, 19, 5, 0
2012-03-28 11:00:10, 3, video, 21, 0, 0
2012-03-28 14:43:23, 3, link, 12, 0, 0
2012-03-30 13:31:23, 5, photo, 24, 2, 0
2012-04-02 13:08:39, 1, photo, 31, 0, 0
2012-04-03 15:00:31, 2, photo, 31, 3, 0
2012-04-04 12:26:37, 3, link, 16, 2, 0
2012-04-05 15:09:01, 4, video, 25, 0, 0
2012-04-06 15:10:19, 5, photo, 46, 5, 1
2012-04-09 10:52:56, 1, link, 5, 0, 0
2012-04-10 16:06:10, 2, link, 5, 0, 0
2012-04-11 14:08:49, 3, photo, 22, 0, 0
2012-04-12 14:15:18, 4, video, 15, 0, 0
2012-04-13 12:12:34, 5, photo, 17, 0, 0
2012-04-16 10:20:05, 1, photo, 7, 0, 0
2012-04-17 10:46:57, 2, video, 11, 0, 0
2012-04-18 09:31:28, 3, photo, 31, 3, 1
2012-04-19 11:40:03, 4, photo, 13, 8, 0
2012-04-20 13:11:38, 5, photo, 24, 0, 0
2012-04-23 13:37:32, 1, photo, 14, 5, 0
2012-04-25 06:57:08, 3, photo, 20, 4, 1
2012-04-26 08:44:41, 4, photo, 25, 7, 0
2012-04-28 11:38:59, 6, video, 26, 3, 0
2012-05-02 12:56:48, 3, photo, 14, 0, 0
