date,day,type,reactions,comments,shares
2011-01-26 15:06:11, 3, link, 9, 1, 0
2011-01-26 15:10:34, 3, link, 9, 0, 0
2011-01-26 15:12:13, 3, link, 15, 2, 0
2011-01-27 15:31:31, 4, photo, 61, 4, 0
2011-01-27 15:34:41, 4, photo, 198, 33, 0
2011-01-28 15:07:33, 5, video, 37, 6, 0
2011-01-29 20:33:05, 6, link, 21, 2, 0
2011-01-31 16:00:16, 1, link, 16, 2, 0
2011-02-01 06:43:27, 2, link, 12, 3, 0
2011-02-01 23:26:26, 2, video, 24, 0, 0
2011-02-01 23:34:27, 2, video, 25, 4, 0
2011-02-02 15:00:42, 3, status, 11, 20, 0
2011-02-03 15:06:07, 4, link, 18, 1, 0
2011-02-07 14:35:30, 1, video, 26, 5, 0
2011-02-08 15:42:14, 2, video, 19, 7, 0
2011-02-09 10:47:22, 3, link, 10, 12, 0
2011-02-10 12:16:29, 4, link, 20, 6, 0
2011-02-10 12:17:07, 4, link, 26, 6, 0
2011-02-11 12:26:49, 5, photo, 41, 1, 0
2011-02-11 12:29:00, 5, photo, 43, 7, 0
2011-02-15 04:35:21, 2, video, 20, 1, 0
2011-02-15 11:01:46, 2, link, 17, 1, 0
2011-02-15 11:02:37, 2, link, 17, 9, 0
2011-02-16 10:26:06, 3, link, 22, 1, 0
2011-02-17 09:45:08, 4, photo, 74, 7, 0
2011-02-17 09:46:21, 4, link, 0, 0, 0
2011-02-19 10:03:41, 6, video, 33, 7, 0
2011-02-20 06:56:10, 7, status, 0, 0, 0
2011-02-21 09:51:28, 1, link, 12, 0, 0
2011-02-21 09:52:39, 1, photo, 31, 2, 0
2011-02-22 09:40:35, 2, link, 19, 2, 0
2011-02-25 07:49:54, 5, link, 13, 0, 0
2011-02-25 07:50:56, 5, link, 20, 3, 0
2011-02-25 07:53:29, 5, photo, 56, 1, 0
2011-02-28 09:48:14, 1, link, 20, 1, 0
2011-03-02 12:16:54, 3, photo, 112, 17, 0
2011-03-02 12:18:49, 3, link, 29, 0, 0
2011-03-03 04:26:37, 4, status, 0, 0, 0
2011-03-04 02:40:39, 5, photo, 21, 1, 0
2011-03-04 09:21:37, 5, link, 27, 0, 0
2011-03-06 08:15:14, 7, link, 25, 4, 0
2011-03-08 09:53:34, 2, link, 14, 1, 0
2011-03-08 13:47:44, 2, photo, 59, 9, 0
2011-03-09 10:19:37, 3, video, 50, 2, 0
2011-03-10 01:06:09, 4, photo, 49, 0, 0
2011-03-10 09:02:29, 4, link, 19, 7, 0
2011-03-11 01:29:56, 5, link, 23, 0, 0
2011-03-11 14:53:02, 5, link, 31, 2, 0
2011-03-13 07:40:49, 7, link, 17, 0, 0
2011-03-14 08:58:15, 1, link, 31, 0, 0
2011-03-15 09:25:59, 2, status, 34, 1, 0
2011-03-16 01:23:43, 3, photo, 43, 1, 0
2011-03-16 05:23:18, 3, photo, 183, 40, 0
2011-03-16 09:54:17, 3, photo, 201, 35, 0
2011-03-17 01:50:05, 4, photo, 220, 30, 0
2011-03-17 10:07:59, 4, link, 31, 3, 0
2011-03-18 05:38:03, 5, photo, 49, 0, 0
2011-03-18 08:56:36, 5, video, 56, 5, 0
2011-03-19 03:51:48, 6, link, 36, 3, 0
2011-03-21 09:16:33, 1, video, 50, 4, 0
2011-03-22 10:05:52, 2, video, 30, 2, 0
2011-03-24 03:04:32, 4, link, 24, 1, 0
2011-03-25 01:04:43, 5, video, 30, 2, 0
2011-03-26 03:34:05, 6, link, 17, 0, 0
2011-03-28 09:19:33, 1, link, 28, 0, 0
2011-03-29 09:10:01, 2, link, 18, 0, 0
2011-03-30 03:20:09, 3, link, 12, 3, 0
2011-03-30 11:15:00, 3, link, 16, 1, 0
2011-03-31 06:19:06, 4, link, 21, 0, 0
2011-04-01 01:53:53, 5, photo, 107, 6, 0
2011-04-06 05:51:24, 3, photo, 71, 1, 0
2011-04-06 15:51:53, 3, link, 20, 1, 0
2011-04-07 05:52:59, 4, video, 42, 9, 0
2011-04-07 05:53:22, 4, video, 37, 0, 0
2011-04-08 03:14:05, 5, photo, 74, 1, 0
2011-04-09 02:26:48, 6, video, 37, 3, 0
2011-04-10 03:37:56, 7, link, 38, 0, 0
2011-04-11 07:36:59, 1, link, 30, 1, 0
2011-04-11 17:19:46, 1, status, 9, 0, 0
2011-04-12 03:03:27, 2, link, 17, 0, 0
2011-04-12 09:07:23, 2, link, 31, 1, 0
2011-04-13 02:41:43, 3, link, 21, 1, 0
2011-04-13 09:53:52, 3, photo, 51, 6, 0
2011-04-14 01:45:12, 4, link, 57, 10, 0
2011-04-15 01:39:07, 5, photo, 36, 0, 0
2011-04-15 09:57:03, 5, link, 23, 2, 0
2011-04-17 21:39:33, 7, link, 32, 0, 0
2011-04-19 02:35:25, 2, video, 33, 1, 0
2011-04-19 11:29:19, 2, photo, 106, 4, 0
2011-04-19 16:15:22, 2, photo, 106, 4, 0
2011-04-20 15:25:02, 3, link, 22, 0, 0
2011-04-20 21:39:50, 3, photo, 83, 7, 0
