date,day,type,reactions,comments,shares
2010-12-30 23:37:41, 4, status, 98, 15, 0
2010-12-31 01:35:37, 5, photo, 205, 40, 0
2011-01-01 07:13:02, 6, link, 99, 10, 0
2011-01-02 23:28:33, 7, status, 420, 51, 0
2011-01-03 11:40:47, 1, video, 723, 18, 0
2011-01-04 02:01:23, 2, link, 255, 36, 0
2011-01-05 00:08:21, 3, status, 88, 10, 0
2011-01-06 02:25:40, 4, photo, 198, 22, 0
2011-01-06 23:47:42, 4, status, 134, 13, 0
2011-01-07 09:57:19, 5, video, 606, 16, 0
2011-01-10 05:34:43, 1, status, 228, 29, 0
2011-01-10 23:42:06, 1, photo, 395, 91, 0
2011-01-12 05:31:14, 3, link, 273, 43, 0
2011-01-12 06:59:35, 3, photo, 898, 88, 0
2011-01-13 06:17:09, 4, status, 158, 25, 0
2011-01-14 00:30:03, 5, status, 239, 27, 0
2011-01-17 08:10:32, 1, photo, 226, 22, 0
2011-01-19 04:15:10, 3, photo, 154, 9, 0
2011-01-20 04:46:22, 4, link, 163, 6, 0
2011-01-21 00:39:01, 5, status, 110, 4, 0
2011-01-21 08:25:47, 5, link, 161, 10, 0
2011-01-24 02:11:03, 1, photo, 390, 51, 0
2011-01-24 09:33:48, 1, video, 203, 20, 0
2011-01-25 05:20:30, 2, video, 137, 15, 0
2011-01-25 10:05:27, 2, video, 134, 7, 0
2011-01-26 00:09:01, 3, video, 122, 0, 0
2011-01-26 04:32:06, 3, video, 122, 3, 0
2011-01-26 13:05:34, 3, video, 141, 21, 0
2011-01-27 03:08:19, 4, video, 107, 2, 0
2011-01-27 06:30:01, 4, link, 154, 15, 0
2011-01-28 04:33:45, 5, video, 137, 6, 0
2011-01-28 08:53:01, 5, link, 96, 7, 0
2011-01-31 04:50:17, 1, photo, 234, 20, 0
2011-02-01 07:04:20, 2, link, 192, 26, 0
2011-02-01 10:24:56, 2, status, 187, 9, 0
2011-02-06 04:20:10, 7, video, 162, 22, 0
2011-02-07 04:20:16, 1, link, 153, 6, 0
2011-02-08 06:15:18, 2, photo, 206, 25, 0
2011-02-09 08:35:07, 3, photo, 451, 73, 0
2011-02-10 13:08:06, 4, status, 144, 7, 0
2011-02-11 08:23:09, 5, link, 291, 43, 0
2011-02-12 01:49:43, 6, video, 227, 18, 0
2011-02-14 08:46:32, 1, video, 107, 6, 0
2011-02-15 04:23:43, 2, link, 164, 13, 0
2011-02-17 04:24:30, 4, link, 105, 7, 0
