date,day,type,reactions,comments,shares
2012-07-13 10:11:22, 5, status, 4, 3, 0
2012-07-13 14:53:25, 5, photo, 5, 12, 0
2012-07-17 09:18:16, 2, link, 2, 5, 0
2012-07-18 07:18:10, 3, photo, 9, 0, 0
2012-07-19 09:54:31, 4, photo, 15, 2, 2
2012-07-20 06:36:39, 5, video, 1, 0, 0
2012-07-23 05:32:59, 1, photo, 10, 3, 0
2012-07-23 08:33:39, 1, video, 0, 0, 0
2012-07-24 12:01:54, 2, video, 4, 1, 0
2012-07-24 15:27:10, 2, photo, 11, 0, 0
2012-07-25 10:01:14, 3, photo, 10, 0, 0
2012-07-26 13:52:36, 4, photo, 6, 6, 0
2012-07-27 12:30:57, 5, photo, 10, 2, 0
2012-07-31 09:33:34, 2, photo, 12, 1, 1
2012-07-31 14:45:09, 2, photo, 9, 7, 1
2012-08-01 07:40:14, 3, video, 5, 0, 0
2012-08-01 11:05:08, 3, photo, 24, 3, 0
2012-08-02 11:34:37, 4, photo, 14, 6, 0
2012-08-07 07:54:49, 2, photo, 24, 2, 0
2012-08-07 13:30:30, 2, video, 6, 0, 0
2012-08-08 12:22:45, 3, photo, 15, 4, 0
2012-08-09 04:00:03, 4, photo, 37, 2, 0
2012-08-14 07:45:43, 2, photo, 17, 6, 0
2012-08-14 08:01:14, 2, photo, 19, 0, 2
2012-08-14 08:12:59, 2, photo, 5, 0, 0
2012-08-15 07:57:49, 3, link, 2, 0, 0
2012-08-15 11:21:07, 3, link, 1, 0, 0
2012-08-16 11:59:26, 4, photo, 23, 5, 0
2012-08-18 08:04:10, 6, photo, 16, 4, 0
2012-08-20 15:40:42, 1, status, 6, 2, 0
2012-08-21 08:57:05, 2, link, 13, 0, 1
2012-08-22 15:59:08, 3, video, 0, 0, 0
2012-08-22 16:03:30, 3, video, 1, 0, 0
2012-08-28 12:20:11, 2, photo, 2, 0, 0
2012-08-28 14:43:00, 2, photo, 19, 42, 0
2012-09-03 07:29:12, 1, photo, 11, 4, 1
2012-09-06 15:19:49, 4, photo, 6, 0, 0
2012-09-07 12:13:21, 5, photo, 24, 3, 0
2012-09-10 09:59:08, 1, photo, 7, 1, 0
2012-09-10 13:30:48, 1, photo, 17, 5, 0
2012-09-11 10:23:31, 2, link, 2, 0, 0
2012-09-12 10:47:04, 3, status, 14, 4, 0
2012-09-12 13:48:00, 3, link, 5, 1, 0
2012-09-13 06:27:09, 4, photo, 40, 6, 0
2012-09-13 10:00:53, 4, photo, 27, 0, 0
2012-09-14 09:34:53, 5, question, 0, 0, 0
2012-09-17 10:32:16, 1, photo, 46, 20, 0
2012-09-18 08:22:44, 2, photo, 16, 2, 0
2012-09-18 10:01:24, 2, video, 4, 0, 0
2012-09-18 13:30:46, 2, link, 15, 2, 0
2012-09-19 10:01:41, 3, photo, 31, 3, 0
2012-09-20 10:36:19, 4, photo, 21, 3, 0
2012-09-21 09:40:09, 5, photo, 21, 1, 0
2012-09-21 14:48:43, 5, photo, 24, 0, 0
2012-09-25 08:09:25, 2, link, 8, 0, 0
2012-09-25 08:16:23, 2, photo, 14, 15, 0
2012-09-25 14:58:12, 2, photo, 41, 14, 0
2012-09-26 09:04:57, 3, link, 11, 0, 1
2012-09-27 05:55:48, 4, photo, 6, 1, 0
2012-09-27 06:25:49, 4, photo, 41, 14, 0
2012-09-27 10:02:15, 4, link, 10, 0, 0
2012-09-27 12:27:52, 4, photo, 12, 5, 0
2012-09-27 12:27:53, 4, photo, 12, 5, 0
2012-09-28 09:37:54, 5, link, 1, 0, 0
2012-09-28 10:54:12, 5, photo, 10, 4, 0
2012-09-28 12:14:08, 5, status, 11, 1, 0
2012-10-01 10:55:53, 1, link, 6, 2, 0
2012-10-02 07:38:29, 2, photo, 58, 11, 0
2012-10-02 07:53:11, 2, link, 3, 1, 0
2012-10-03 09:04:51, 3, photo, 30, 4, 0
2012-10-03 09:33:17, 3, photo, 41, 14, 0
2012-10-04 11:20:41, 4, photo, 41, 14, 0
2012-10-05 06:57:46, 5, photo, 81, 21, 0
2012-10-05 07:29:52, 5, photo, 41, 14, 0
2012-10-07 14:24:05, 7, link, 10, 0, 0
2012-10-08 10:04:28, 1, status, 33, 13, 0
2012-10-08 11:53:14, 1, photo, 22, 3, 0
2012-10-08 15:26:25, 1, photo, 9, 0, 0
2012-10-09 07:55:53, 2, photo, 169, 36, 14
