date,day,type,reactions,comments,shares
2012-05-29 07:42:13, 2, video, 1, 0, 0
2012-05-30 08:13:36, 3, link, 4, 0, 1
2012-05-31 06:37:03, 4, photo, 2, 0, 0
2012-05-31 06:37:24, 4, photo, 6, 0, 0
2012-05-31 09:21:18, 4, link, 8, 0, 0
2012-05-31 09:45:32, 4, photo, 3, 0, 0
2012-05-31 09:48:33, 4, photo, 11, 0, 0
2012-05-31 09:48:41, 4, photo, 5, 0, 0
2012-05-31 09:48:49, 4, photo, 5, 0, 0
2012-05-31 09:48:54, 4, photo, 7, 0, 0
2012-05-31 11:57:41, 4, photo, 0, 0, 0
2012-06-01 06:28:29, 5, video, 1, 0, 0
2012-06-01 08:52:56, 5, video, 4, 0, 0
2012-06-01 08:59:15, 5, link, 3, 0, 0
2012-06-01 09:00:15, 5, link, 5, 0, 0
2012-06-01 11:32:11, 5, link, 2, 0, 0
2012-06-04 06:13:38, 1, link, 6, 0, 0
2012-06-04 06:15:01, 1, photo, 11, 0, 0
2012-06-04 08:31:51, 1, video, 5, 0, 0
2012-06-04 10:16:39, 1, video, 3, 0, 0
2012-06-04 12:33:40, 1, status, 3, 0, 0
2012-06-05 06:25:14, 2, link, 1, 0, 0
2012-06-05 06:26:16, 2, link, 1, 0, 0
2012-06-05 07:20:33, 2, link, 2, 0, 0
2012-06-05 10:42:52, 2, link, 9, 0, 0
2012-06-05 13:04:45, 2, photo, 15, 0, 0
2012-06-05 13:05:07, 2, photo, 4, 0, 0
2012-06-06 07:26:13, 3, photo, 5, 0, 1
2012-06-06 12:22:42, 3, photo, 4, 0, 0
2012-06-07 06:56:03, 4, video, 5, 0, 1
2012-06-07 12:26:21, 4, link, 9, 1, 0
2012-06-08 13:07:49, 5, link, 2, 0, 0
2012-06-11 07:11:43, 1, link, 6, 0, 0
2012-06-11 10:30:56, 1, video, 5, 0, 0
2012-06-13 06:18:12, 3, link, 2, 0, 0
2012-06-13 06:24:50, 3, link, 1, 0, 0
2012-06-13 06:26:07, 3, link, 3, 0, 0
2012-06-13 06:26:28, 3, link, 2, 0, 0
2012-06-13 06:34:49, 3, link, 5, 0, 0
2012-06-13 11:22:53, 3, video, 6, 0, 0
2012-06-13 11:25:13, 3, photo, 45, 0, 11
2012-06-13 12:09:26, 3, status, 0, 0, 0
2012-06-14 07:24:25, 4, link, 3, 0, 0
2012-06-14 07:24:43, 4, link, 1, 0, 0
2012-06-14 07:25:42, 4, video, 1, 0, 0
2012-06-14 07:26:25, 4, video, 1, 0, 0
2012-06-14 07:30:52, 4, link, 6, 0, 1
2012-06-14 08:33:26, 4, video, 13, 0, 0
2012-06-14 09:08:55, 4, photo, 5, 0, 0
2012-06-14 09:09:10, 4, photo, 4, 0, 0
2012-06-14 11:48:44, 4, photo, 16, 0, 0
2012-06-15 05:52:09, 5, video, 5, 0, 0
2012-06-15 05:59:16, 5, video, 4, 0, 0
2012-06-15 07:18:09, 5, photo, 4, 0, 0
2012-06-15 07:18:24, 5, photo, 2, 0, 0
2012-06-15 07:19:27, 5, photo, 1, 0, 0
2012-06-15 07:20:12, 5, photo, 11, 0, 0
2012-06-15 08:25:37, 5, link, 7, 0, 0
2012-06-15 12:47:55, 5, video, 3, 0, 0
2012-06-15 12:52:44, 5, video, 4, 0, 0
2012-06-15 12:56:14, 5, photo, 5, 0, 0
2012-06-19 09:42:22, 2, photo, 17, 0, 0
2012-06-19 12:08:57, 2, video, 8, 0, 0
2012-06-20 07:07:41, 3, photo, 8, 0, 0
2012-06-20 07:08:33, 3, photo, 22, 1, 0
2012-06-20 07:45:49, 3, video, 5, 1, 0
2012-06-20 08:53:27, 3, link, 6, 0, 0
2012-06-20 11:51:09, 3, link, 11, 0, 1
2012-06-21 06:08:29, 4, video, 5, 0, 0
2012-06-21 06:11:42, 4, video, 6, 0, 0
2012-06-21 06:14:04, 4, video, 7, 0, 0
2012-06-21 06:20:34, 4, photo, 18, 2, 0
