date,day,type,reactions,comments,shares
2011-04-05 03:12:25, 2, status, 0, 0, 0
2011-04-20 02:43:28, 3, status, 48, 5, 0
2011-04-20 02:44:24, 3, photo, 35, 1, 0
2011-04-20 02:45:50, 3, video, 41, 2, 0
2011-04-21 04:43:04, 4, link, 15, 3, 0
2011-04-21 07:36:51, 4, link, 11, 0, 0
2011-04-26 08:06:17, 2, status, 0, 0, 0
2011-04-27 06:06:58, 3, photo, 39, 1, 0
2011-05-13 06:56:27, 5, photo, 66, 9, 0
2011-05-16 00:31:30, 1, link, 28, 4, 0
2011-05-19 23:19:07, 4, link, 12, 2, 0
2011-05-20 01:18:13, 5, link, 4, 1, 0
2011-05-20 01:29:34, 5, link, 27, 5, 0
2011-05-20 05:11:18, 5, photo, 21, 3, 0
2011-05-20 08:16:18, 5, link, 17, 3, 0
2011-05-23 01:06:08, 1, video, 16, 1, 0
2011-05-23 04:39:16, 1, link, 12, 3, 0
2011-05-23 08:09:53, 1, video, 27, 4, 0
2011-05-23 23:41:38, 1, link, 6, 0, 0
2011-05-24 04:53:55, 2, link, 12, 3, 0
2011-05-24 10:24:23, 2, video, 11, 2, 0
2011-05-25 00:05:27, 3, link, 26, 5, 0
2011-05-25 08:14:39, 3, link, 16, 0, 0
2011-05-25 22:45:43, 3, link, 15, 1, 0
2011-05-26 08:26:25, 4, link, 18, 3, 0
2011-05-27 01:48:45, 5, photo, 31, 0, 0
2011-05-27 08:12:38, 5, video, 27, 5, 0
2011-05-30 02:12:49, 1, link, 18, 1, 0
2011-05-31 00:07:32, 2, link, 16, 2, 0
2011-05-31 23:50:39, 2, link, 49, 9, 0
2011-06-01 06:07:58, 3, link, 18, 1, 0
2011-06-01 23:03:12, 3, link, 15, 5, 0
2011-06-02 04:51:32, 4, link, 18, 7, 0
2011-06-06 01:17:04, 1, link, 25, 3, 0
2011-06-07 02:28:14, 2, link, 13, 4, 0
2011-06-07 08:54:30, 2, link, 20, 0, 0
2011-06-07 08:58:06, 2, photo, 30, 4, 0
2011-06-08 05:52:50, 3, link, 20, 9, 0
2011-06-09 07:18:49, 4, link, 16, 2, 0
2011-06-09 08:01:00, 4, link, 22, 1, 0
2011-06-13 00:21:12, 1, link, 11, 1, 0
2011-06-13 00:38:03, 1, link, 29, 5, 0
2011-06-13 01:57:16, 1, link, 9, 3, 0
2011-06-13 04:38:11, 1, link, 27, 5, 0
2011-06-14 00:38:57, 2, photo, 82, 8, 0
2011-06-14 02:12:40, 2, link, 26, 4, 0
2011-06-14 02:22:57, 2, link, 14, 2, 0
2011-06-14 05:09:19, 2, link, 17, 2, 0
2011-06-14 10:38:18, 2, link, 21, 2, 0
2011-06-15 00:28:45, 3, photo, 58, 1, 0
2011-06-15 02:07:28, 3, photo, 37, 4, 0
2011-06-15 08:16:12, 3, video, 76, 11, 0
2011-06-20 01:05:44, 1, link, 39, 2, 0
2011-06-20 06:23:35, 1, video, 24, 4, 0
2011-06-20 06:32:16, 1, photo, 56, 4, 0
2011-06-20 23:38:51, 1, link, 19, 2, 0
2011-06-21 02:37:00, 2, link, 65, 10, 0
2011-06-21 02:43:19, 2, link, 27, 4, 0
2011-06-22 05:56:47, 3, photo, 118, 25, 0
2011-06-22 06:09:58, 3, link, 49, 7, 0
2011-06-22 23:32:22, 3, link, 17, 1, 0
2011-06-23 01:50:35, 4, link, 22, 4, 0
2011-06-23 04:40:22, 4, link, 29, 2, 0
2011-06-24 06:19:39, 5, link, 34, 3, 0
2011-06-24 07:45:56, 5, photo, 75, 21, 0
2011-06-24 07:57:52, 5, status, 14, 1, 0
2011-06-24 08:16:44, 5, status, 29, 2, 0
2011-06-25 22:35:28, 6, link, 38, 1, 0
2011-06-27 04:28:38, 1, link, 11, 2, 0
2011-06-27 05:03:50, 1, link, 27, 3, 0
2011-06-27 07:46:37, 1, photo, 26, 2, 0
2011-06-27 09:27:09, 1, photo, 46, 8, 0
2011-06-28 00:36:50, 2, link, 36, 4, 0
2011-06-29 00:02:48, 3, link, 20, 1, 0
2011-06-29 04:13:26, 3, video, 19, 1, 0
2011-06-29 05:53:10, 3, video, 28, 5, 0
2011-06-29 09:10:46, 3, link, 18, 0, 0
2011-06-29 11:52:27, 3, link, 24, 1, 0
2011-06-29 22:47:11, 3, link, 25, 3, 0
2011-06-30 00:11:13, 4, link, 32, 6, 0
2011-06-30 04:01:51, 4, link, 29, 1, 0
2011-07-01 23:22:22, 5, link, 43, 4, 0
2011-07-02 04:34:25, 6, photo, 70, 7, 0
2011-07-02 07:31:05, 6, link, 28, 0, 0
2011-07-02 22:40:44, 6, link, 69, 3, 0
2011-07-03 01:47:11, 7, link, 42, 0, 0
2011-07-03 07:27:40, 7, link, 42, 1, 0
2011-07-04 00:06:13, 1, link, 20, 0, 0
2011-07-04 04:25:03, 1, link, 55, 11, 0
2011-07-06 01:30:55, 3, video, 62, 4, 0
2011-07-06 04:10:15, 3, photo, 110, 8, 0
2011-07-06 08:37:22, 3, link, 47, 2, 0
2011-07-09 02:19:58, 6, photo, 110, 11, 0
2011-07-09 04:30:12, 6, photo, 84, 7, 0
2011-07-09 22:01:36, 6, status, 69, 3, 0
2011-07-09 23:46:11, 6, photo, 98, 3, 0
2011-07-10 03:42:22, 7, link, 34, 5, 0
2011-07-10 06:53:02, 7, link, 32, 3, 0
2011-07-10 23:27:27, 7, link, 35, 1, 0
2011-07-11 01:52:22, 1, link, 41, 1, 0
2011-07-11 04:45:52, 1, link, 23, 1, 0
2011-07-11 23:56:27, 1, link, 27, 3, 0
2011-07-12 04:33:17, 2, link, 35, 4, 0
2011-07-13 09:53:39, 3, link, 54, 3, 0
2011-07-16 23:21:39, 6, link, 53, 9, 0
2011-07-17 04:27:52, 7, photo, 77, 13, 0
2011-07-17 07:59:53, 7, link, 44, 2, 0
2011-07-18 00:12:41, 1, link, 16, 0, 0
2011-07-18 01:17:45, 1, link, 22, 1, 0
2011-07-19 02:50:30, 2, status, 48, 0, 0
2011-07-19 04:08:32, 2, photo, 76, 6, 0
2011-07-19 05:05:52, 2, status, 54, 0, 0
2011-07-19 09:56:20, 2, link, 62, 1, 0
2011-07-20 06:03:38, 3, link, 33, 2, 0
2011-07-20 06:28:49, 3, link, 35, 0, 0
2011-07-20 07:43:27, 3, link, 50, 9, 0
2011-07-23 02:36:14, 6, link, 49, 3, 0
2011-07-23 07:52:56, 6, video, 103, 17, 0
2011-07-25 00:00:49, 1, link, 30, 0, 0
2011-07-25 05:23:18, 1, link, 38, 3, 0
2011-07-26 00:09:29, 2, link, 23, 1, 0
2011-07-26 04:20:12, 2, link, 20, 0, 0
2011-07-26 05:33:19, 2, link, 60, 5, 0
2011-07-30 01:53:49, 6, photo, 346, 43, 0
2011-07-31 00:11:24, 7, link, 160, 17, 0
2011-08-01 01:15:28, 1, link, 51, 2, 0
2011-08-02 00:40:27, 2, link, 32, 1, 0
2011-08-03 05:03:46, 3, link, 48, 4, 0
2011-08-03 08:13:00, 3, link, 92, 18, 0
2011-08-06 08:35:11, 6, photo, 95, 7, 0
2011-08-07 05:13:20, 7, link, 151, 14, 0
2011-08-08 01:40:49, 1, link, 73, 6, 0
2011-08-08 06:43:46, 1, link, 30, 2, 0
2011-08-09 00:13:33, 2, link, 30, 0, 0
2011-08-09 02:38:59, 2, link, 78, 12, 0
2011-08-09 04:40:22, 2, link, 61, 2, 0
2011-08-19 23:44:26, 5, link, 54, 2, 0
2011-08-20 00:07:05, 6, link, 184, 18, 0
2011-08-20 01:03:59, 6, link, 51, 1, 0
2011-08-20 04:16:26, 6, link, 48, 0, 0
2011-08-20 06:33:15, 6, photo, 248, 29, 0
2011-08-20 23:08:03, 6, link, 71, 0, 0
2011-08-21 06:07:28, 7, link, 59, 4, 0
2011-08-22 01:25:32, 1, link, 33, 2, 0
2011-08-22 04:07:33, 1, link, 42, 2, 0
2011-08-22 06:00:21, 1, video, 167, 22, 0
2011-08-22 10:50:34, 1, link, 119, 17, 0
2011-08-22 14:06:44, 1, link, 68, 7, 0
2011-08-23 04:34:08, 2, link, 33, 0, 0
2011-08-23 06:28:29, 2, video, 94, 16, 0
2011-08-23 08:08:37, 2, video, 121, 5, 0
2011-08-23 22:52:31, 2, link, 66, 13, 0
2011-08-24 02:03:17, 3, link, 32, 4, 0
2011-08-24 02:35:36, 3, photo, 126, 8, 0
2011-08-24 04:37:54, 3, link, 108, 12, 0
2011-08-24 08:29:21, 3, link, 72, 5, 0
2011-08-24 10:20:07, 3, video, 77, 6, 0
2011-08-24 10:26:18, 3, video, 71, 2, 0
2011-08-27 22:31:02, 6, link, 54, 0, 0
2011-08-29 00:10:00, 1, link, 64, 7, 0
2011-08-30 02:29:53, 2, link, 53, 0, 0
2011-08-31 00:49:41, 3, link, 64, 3, 0
2011-09-04 00:29:52, 7, link, 91, 3, 0
2011-09-05 05:58:18, 1, link, 73, 13, 0
2011-09-05 07:19:46, 1, photo, 223, 17, 0
2011-09-06 03:56:14, 2, link, 62, 4, 0
2011-09-06 04:18:47, 2, link, 74, 9, 0
2011-09-06 04:27:21, 2, link, 74, 1, 0
2011-09-07 06:05:50, 3, link, 159, 8, 0
2011-09-07 07:19:05, 3, photo, 100, 14, 0
2011-09-07 10:31:39, 3, photo, 359, 25, 0
2011-09-10 22:17:55, 6, link, 129, 15, 0
2011-09-11 00:59:11, 7, link, 42, 1, 0
2011-09-11 02:46:44, 7, link, 121, 7, 0
2011-09-11 05:03:16, 7, link, 55, 1, 0
2011-09-12 00:18:18, 1, link, 37, 0, 0
2011-09-12 03:50:13, 1, link, 47, 1, 0
2011-09-12 06:10:12, 1, link, 36, 1, 0
2011-09-12 23:36:28, 1, link, 176, 17, 0
2011-09-14 01:05:43, 3, link, 33, 1, 0
2011-09-14 02:55:59, 3, link, 136, 8, 0
2011-09-16 23:27:29, 5, photo, 173, 8, 0
2011-09-17 23:49:01, 6, link, 57, 2, 0
2011-09-18 01:13:25, 7, link, 50, 5, 0
2011-09-19 04:59:11, 1, link, 185, 17, 0
2011-09-20 06:04:06, 2, link, 156, 14, 0
2011-09-20 07:33:33, 2, link, 51, 2, 0
2011-09-21 01:53:59, 3, link, 82, 7, 0
2011-09-21 08:48:56, 3, video, 224, 29, 0
2011-09-25 06:44:32, 7, link, 92, 3, 0
2011-09-26 00:02:50, 1, link, 78, 1, 0
2011-09-26 09:04:52, 1, link, 89, 6, 0
2011-09-27 05:11:24, 2, photo, 344, 35, 0
2011-09-27 10:58:32, 2, link, 115, 4, 0
2011-09-27 23:30:57, 2, link, 61, 4, 0
2011-09-28 04:37:51, 3, link, 65, 0, 0
2011-09-28 06:50:59, 3, link, 49, 0, 0
2011-09-28 07:55:22, 3, link, 80, 6, 0
2011-10-03 02:07:56, 1, link, 111, 3, 0
2011-10-03 04:40:47, 1, link, 75, 2, 0
2011-10-03 07:20:19, 1, link, 98, 7, 0
2011-10-04 05:28:35, 2, photo, 172, 15, 0
2011-10-05 02:27:19, 3, photo, 97, 0, 0
2011-10-05 07:04:14, 3, photo, 88, 1, 0
2011-10-05 07:39:36, 3, status, 0, 0, 0
2011-10-06 04:54:59, 4, link, 104, 6, 0
2011-10-07 07:15:24, 5, photo, 82, 12, 0
2011-10-10 04:26:19, 1, video, 82, 4, 0
2011-10-10 07:37:12, 1, link, 86, 0, 0
2011-10-10 23:24:59, 1, link, 54, 0, 0
2011-10-11 01:56:39, 2, link, 94, 5, 0
2011-10-11 04:41:35, 2, link, 92, 3, 0
2011-10-12 04:36:36, 3, link, 54, 0, 0
2011-10-12 15:19:39, 3, status, 143, 9, 0
2011-10-12 23:16:21, 3, link, 48, 0, 0
2011-10-13 02:43:22, 4, link, 93, 5, 0
2011-10-13 07:01:48, 4, link, 94, 7, 0
2011-10-14 01:10:28, 5, photo, 76, 1, 0
2011-10-14 05:04:54, 5, link, 135, 4, 0
2011-10-14 10:17:30, 5, link, 156, 4, 0
2011-10-17 02:30:19, 1, link, 92, 2, 0
2011-10-17 23:14:16, 1, photo, 203, 7, 0
2011-10-18 02:34:13, 2, link, 171, 3, 0
2011-10-18 23:42:27, 2, link, 109, 4, 0
2011-10-19 02:00:25, 3, link, 60, 0, 0
2011-10-20 01:08:21, 4, link, 67, 0, 0
2011-10-21 04:22:45, 5, link, 143, 8, 0
2011-10-21 08:59:29, 5, link, 84, 3, 0
2011-10-24 01:24:23, 1, link, 56, 1, 0
2011-10-24 04:12:20, 1, link, 58, 1, 0
2011-10-24 05:40:11, 1, link, 125, 4, 0
2011-10-25 05:38:37, 2, link, 65, 1, 0
2011-10-25 23:53:41, 2, link, 173, 9, 0
2011-10-26 05:03:24, 3, link, 162, 7, 0
2011-10-26 08:20:37, 3, link, 87, 4, 0
2011-10-27 11:30:03, 4, link, 79, 2, 0
2011-10-31 04:14:52, 1, photo, 135, 2, 0
2011-11-01 00:10:50, 2, status, 160, 19, 0
2011-11-01 02:06:59, 2, link, 140, 5, 0
2011-11-01 08:36:09, 2, photo, 230, 13, 0
2011-11-02 01:51:12, 3, link, 102, 1, 0
2011-11-02 04:34:59, 3, photo, 109, 1, 0
2011-11-02 09:26:03, 3, link, 95, 0, 0
2011-11-02 23:26:54, 3, link, 88, 1, 0
2011-11-03 01:07:22, 4, link, 91, 5, 0
2011-11-03 02:27:58, 4, link, 87, 8, 0
2011-11-03 05:55:34, 4, link, 126, 10, 0
2011-11-03 23:33:16, 4, link, 37, 3, 0
2011-11-04 01:06:24, 5, link, 77, 0, 0
2011-11-04 02:27:24, 5, photo, 154, 12, 0
2011-11-04 04:36:30, 5, link, 57, 1, 0
2011-11-04 05:37:37, 5, status, 80, 2, 0
2011-11-04 06:28:48, 5, photo, 144, 9, 0
2011-11-07 00:18:52, 1, link, 88, 1, 0
2011-11-07 01:38:32, 1, photo, 141, 3, 0
2011-11-07 06:31:27, 1, link, 138, 2, 0
2011-11-07 08:10:42, 1, link, 132, 3, 0
2011-11-08 00:53:23, 2, link, 120, 2, 0
2011-11-08 01:32:53, 2, link, 86, 2, 0
2011-11-08 04:43:33, 2, link, 43, 0, 0
2011-11-08 05:21:50, 2, link, 80, 4, 0
2011-11-08 06:22:12, 2, link, 42, 1, 0
2011-11-08 23:43:32, 2, link, 67, 4, 0
2011-11-09 02:24:16, 3, status, 55, 0, 0
2011-11-09 04:43:08, 3, link, 54, 2, 0
2011-11-09 04:49:57, 3, link, 58, 1, 0
2011-11-09 06:14:10, 3, link, 118, 0, 0
2011-11-09 07:49:29, 3, video, 92, 6, 0
2011-11-09 11:46:16, 3, link, 184, 12, 0
2011-11-10 05:51:33, 4, photo, 104, 4, 0
2011-11-10 09:00:28, 4, link, 129, 0, 0
2011-11-10 10:12:18, 4, link, 76, 6, 0
2011-11-11 01:11:04, 5, link, 61, 2, 0
2011-11-11 02:29:12, 5, link, 110, 2, 0
2011-11-11 07:14:13, 5, link, 61, 1, 0
2011-11-11 08:45:31, 5, photo, 485, 34, 0
2011-11-14 02:15:39, 1, link, 64, 0, 0
2011-11-14 05:07:08, 1, status, 86, 4, 0
2011-11-14 08:42:27, 1, link, 69, 5, 0
2011-11-15 00:02:47, 2, status, 58, 0, 0
2011-11-15 00:34:40, 2, link, 45, 0, 0
2011-11-15 00:57:32, 2, status, 232, 18, 0
2011-11-15 05:03:19, 2, link, 56, 3, 0
2011-11-15 05:06:38, 2, link, 45, 2, 0
2011-11-15 05:13:20, 2, link, 95, 2, 0
2011-11-15 23:11:17, 2, link, 55, 1, 0
2011-11-16 00:34:30, 3, link, 147, 7, 0
2011-11-16 01:12:17, 3, status, 156, 3, 0
2011-11-16 07:19:01, 3, link, 207, 8, 0
2011-11-16 22:08:45, 3, status, 55, 2, 0
2011-11-16 22:13:44, 3, link, 40, 2, 0
2011-11-16 22:20:16, 3, link, 82, 0, 0
2011-11-16 23:14:48, 3, status, 52, 2, 0
2011-11-17 00:53:06, 4, photo, 201, 2, 0
2011-11-17 01:50:08, 4, status, 120, 4, 0
2011-11-17 03:50:19, 4, link, 81, 1, 0
2011-11-17 04:38:07, 4, link, 73, 2, 0
2011-11-17 06:04:36, 4, link, 56, 0, 0
2011-11-17 06:36:18, 4, link, 33, 0, 0
2011-11-17 06:54:51, 4, link, 158, 8, 0
2011-11-17 07:17:27, 4, link, 89, 1, 0
2011-11-17 07:43:10, 4, status, 158, 3, 0
2011-11-18 00:37:42, 5, status, 42, 0, 0
2011-11-18 00:43:02, 5, link, 61, 0, 0
2011-11-18 06:11:27, 5, link, 35, 0, 0
2011-11-18 06:13:55, 5, link, 67, 2, 0
2011-11-18 07:11:07, 5, photo, 275, 17, 0
2011-11-18 08:16:12, 5, status, 161, 11, 0
2011-11-18 22:54:07, 5, status, 79, 0, 0
2011-11-18 23:01:47, 5, link, 32, 3, 0
2011-11-18 23:04:18, 5, link, 78, 6, 0
2011-11-18 23:11:05, 5, link, 45, 0, 0
2011-11-18 23:23:24, 5, status, 88, 4, 0
2011-11-18 23:29:02, 5, link, 40, 0, 0
2011-11-18 23:30:28, 5, link, 108, 2, 0
2011-11-18 23:37:35, 5, status, 46, 0, 0
2011-11-18 23:44:16, 5, status, 100, 2, 0
2011-11-18 23:49:21, 5, link, 118, 4, 0
2011-11-19 00:11:01, 6, status, 187, 13, 0
2011-11-20 23:58:21, 7, status, 95, 8, 0
2011-11-21 03:03:13, 1, link, 119, 5, 0
2011-11-21 04:23:20, 1, link, 63, 1, 0
2011-11-21 04:25:34, 1, video, 99, 2, 0
2011-11-21 04:46:57, 1, link, 59, 0, 0
2011-11-21 04:58:10, 1, link, 46, 0, 0
2011-11-21 05:23:20, 1, status, 103, 3, 0
2011-11-21 08:58:00, 1, status, 142, 0, 0
2011-11-21 23:42:40, 1, status, 71, 5, 0
2011-11-22 01:06:28, 2, status, 57, 0, 0
2011-11-22 01:10:21, 2, status, 64, 1, 0
2011-11-22 02:42:08, 2, status, 55, 2, 0
2011-11-22 05:48:02, 2, video, 130, 4, 0
2011-11-22 07:23:04, 2, link, 217, 15, 0
2011-11-22 08:26:38, 2, status, 78, 0, 0
2011-11-22 23:52:04, 2, link, 47, 2, 0
2011-11-23 00:06:40, 3, link, 87, 0, 0
2011-11-23 01:39:46, 3, photo, 65, 0, 0
2011-11-23 05:35:25, 3, photo, 140, 6, 0
2011-11-23 22:54:22, 3, link, 51, 0, 0
2011-11-23 23:07:25, 3, link, 66, 2, 0
2011-11-24 02:57:26, 4, link, 55, 0, 0
2011-11-24 04:07:58, 4, link, 55, 0, 0
2011-11-24 06:09:21, 4, link, 77, 0, 0
2011-11-25 00:48:28, 5, link, 83, 0, 0
2011-11-25 10:16:05, 5, link, 72, 2, 0
2011-11-27 00:27:47, 7, status, 62, 5, 0
2011-11-27 01:37:13, 7, status, 48, 0, 0
2011-11-27 01:50:09, 7, status, 198, 14, 0
2011-11-27 02:06:20, 7, status, 109, 4, 0
2011-11-27 02:50:58, 7, status, 136, 4, 0
2011-11-27 03:12:32, 7, status, 132, 4, 0
2011-11-27 03:34:35, 7, status, 117, 6, 0
2011-11-27 03:40:51, 7, status, 173, 5, 0
2011-11-27 09:17:09, 7, link, 337, 25, 0
2011-11-27 09:38:59, 7, link, 237, 15, 0
2011-11-27 23:50:31, 7, link, 58, 1, 0
2011-11-27 23:54:49, 7, link, 201, 13, 0
2011-11-28 00:24:32, 1, link, 65, 2, 0
2011-11-28 02:31:43, 1, link, 49, 1, 0
2011-11-28 04:37:42, 1, link, 96, 2, 0
2011-11-28 05:04:36, 1, status, 81, 4, 0
2011-11-28 08:07:37, 1, status, 51, 0, 0
2011-11-28 08:14:21, 1, link, 126, 6, 0
2011-11-28 08:49:12, 1, photo, 128, 8, 0
2011-11-29 00:23:37, 2, photo, 92, 4, 0
2011-11-29 00:47:58, 2, status, 62, 1, 0
2011-11-29 01:13:46, 2, photo, 197, 17, 0
2011-11-29 01:37:55, 2, link, 40, 2, 0
2011-11-29 02:17:41, 2, photo, 179, 13, 0
2011-11-29 02:37:55, 2, link, 49, 1, 0
2011-11-29 02:50:02, 2, link, 62, 1, 0
2011-11-29 04:24:05, 2, link, 137, 9, 0
2011-11-29 04:25:51, 2, status, 65, 2, 0
2011-11-29 04:32:12, 2, photo, 122, 1, 0
2011-11-29 05:00:29, 2, link, 74, 0, 0
2011-11-29 05:26:04, 2, photo, 291, 28, 0
2011-11-29 13:26:13, 2, status, 86, 0, 0
2011-11-30 01:16:52, 3, status, 68, 4, 0
2011-11-30 02:44:29, 3, photo, 124, 6, 0
2011-11-30 02:51:40, 3, photo, 71, 1, 0
2011-11-30 03:34:32, 3, status, 67, 1, 0
2011-11-30 03:54:37, 3, status, 64, 1, 0
2011-11-30 06:43:56, 3, status, 67, 3, 0
2011-12-01 02:02:33, 4, status, 94, 3, 0
2011-12-01 02:24:26, 4, photo, 173, 6, 0
2011-12-01 02:24:50, 4, photo, 77, 0, 0
2011-12-01 02:28:36, 4, photo, 195, 6, 0
2011-12-01 02:42:24, 4, photo, 78, 4, 0
2011-12-01 05:25:23, 4, photo, 287, 21, 0
2011-12-01 08:08:09, 4, photo, 80, 0, 0
2011-12-01 08:22:19, 4, video, 131, 7, 0
2011-12-02 02:28:15, 5, photo, 124, 5, 0
2011-12-02 03:00:01, 5, photo, 206, 9, 0
2011-12-02 03:22:21, 5, photo, 77, 1, 0
2011-12-02 03:24:09, 5, photo, 69, 3, 0
2011-12-02 03:56:45, 5, photo, 164, 12, 0
2011-12-02 03:58:02, 5, photo, 220, 12, 0
2011-12-02 04:35:54, 5, link, 57, 0, 0
2011-12-02 04:53:45, 5, photo, 205, 7, 0
2011-12-02 05:12:28, 5, photo, 103, 7, 0
2011-12-02 05:15:21, 5, photo, 313, 12, 0
2011-12-02 05:32:52, 5, status, 44, 0, 0
2011-12-02 06:20:48, 5, photo, 146, 3, 0
2011-12-02 07:16:59, 5, video, 163, 4, 0
2011-12-02 07:24:44, 5, photo, 230, 15, 0
2011-12-02 10:06:51, 5, link, 59, 0, 0
2011-12-02 10:16:46, 5, video, 115, 3, 0
2011-12-05 02:48:32, 1, status, 69, 2, 0
2011-12-05 05:09:59, 1, photo, 116, 1, 0
2011-12-05 05:16:02, 1, link, 95, 2, 0
2011-12-05 05:50:33, 1, link, 83, 1, 0
2011-12-05 23:46:08, 1, link, 172, 12, 0
2011-12-06 00:21:58, 2, video, 69, 2, 0
2011-12-06 04:07:43, 2, link, 50, 0, 0
2011-12-06 05:00:21, 2, photo, 192, 12, 0
2011-12-06 05:31:04, 2, link, 49, 0, 0
2011-12-06 05:50:12, 2, photo, 205, 21, 0
2011-12-06 23:26:45, 2, status, 65, 15, 0
2011-12-07 04:40:13, 3, photo, 208, 7, 0
2011-12-07 06:09:01, 3, photo, 120, 7, 0
2011-12-07 06:12:50, 3, status, 61, 2, 0
2011-12-07 07:06:07, 3, link, 75, 4, 0
