date,day,type,reactions,comments,shares
2010-11-26 00:45:20, 5, status, 0, 0, 0
2010-11-26 00:59:34, 5, status, 1, 0, 0
2010-11-27 00:20:49, 6, status, 3, 0, 0
2010-11-27 13:52:05, 6, status, 2, 0, 0
2010-11-27 15:50:17, 6, status, 3, 0, 0
2010-12-11 18:00:54, 6, status, 4, 0, 0
2010-12-12 15:52:34, 7, status, 5, 0, 0
2010-12-19 14:06:31, 7, status, 3, 0, 0
2010-12-24 16:04:20, 5, status, 2, 3, 0
2010-12-27 16:37:14, 1, status, 0, 2, 0
2011-01-05 23:44:12, 3, status, 1, 2, 0
2011-01-19 19:52:00, 3, photo, 6, 4, 0
2011-01-19 21:37:37, 3, photo, 6, 1, 0
2011-01-20 16:57:56, 4, video, 6, 1, 0
2011-01-20 16:59:27, 4, status, 0, 0, 0
2011-01-21 00:27:11, 5, video, 3, 0, 0
2011-01-21 14:21:16, 5, link, 2, 0, 0
2011-01-23 04:23:27, 7, video, 7, 6, 0
2011-01-24 22:05:00, 1, video, 6, 2, 0
2011-01-25 15:56:44, 2, link, 3, 0, 0
2011-01-25 21:10:30, 2, link, 2, 0, 0
2011-01-26 21:22:09, 3, photo, 14, 1, 0
2011-01-26 21:27:42, 3, link, 1, 0, 0
2011-01-26 21:32:12, 3, video, 4, 0, 0
2011-01-27 19:52:37, 4, photo, 2, 1, 0
2011-01-27 20:55:57, 4, video, 4, 1, 0
2011-01-28 21:49:01, 5, link, 4, 0, 0
2011-01-29 21:50:01, 6, photo, 13, 1, 0
2011-01-31 18:50:09, 1, link, 6, 0, 0
2011-02-01 20:17:17, 2, link, 4, 0, 0
2011-02-02 19:26:06, 3, video, 7, 0, 0
2011-02-02 20:30:36, 3, photo, 32, 10, 0
2011-02-03 19:21:44, 4, photo, 4, 0, 0
2011-02-03 22:18:35, 4, photo, 5, 0, 0
2011-02-03 23:31:57, 4, photo, 13, 6, 0
2011-02-04 16:47:29, 5, link, 1, 0, 0
2011-02-04 20:58:20, 5, photo, 7, 0, 0
2011-02-04 21:59:05, 5, photo, 8, 2, 0
2011-02-07 13:49:57, 1, status, 0, 0, 0
2011-02-07 13:52:39, 1, photo, 10, 2, 0
2011-02-07 21:01:25, 1, video, 3, 0, 0
2011-02-07 21:36:59, 1, video, 7, 3, 0
2011-02-08 16:10:53, 2, photo, 2, 0, 0
2011-02-08 21:01:30, 2, link, 0, 0, 0
2011-02-08 21:27:25, 2, link, 0, 3, 0
2011-02-09 16:54:03, 3, photo, 11, 3, 0
2011-02-09 21:35:19, 3, video, 8, 0, 0
2011-02-09 22:30:44, 3, link, 2, 0, 0
2011-02-10 22:02:44, 4, link, 3, 0, 0
2011-02-11 15:39:10, 5, link, 4, 2, 0
2011-02-11 16:16:36, 5, video, 3, 0, 0
2011-02-11 16:58:57, 5, photo, 36, 12, 0
2011-02-14 17:16:54, 1, photo, 6, 2, 0
2011-02-14 20:22:12, 1, photo, 8, 0, 0
2011-02-15 00:03:26, 2, status, 1, 0, 0
2011-02-15 16:56:32, 2, photo, 17, 2, 0
2011-02-15 17:49:12, 2, photo, 0, 3, 0
2011-02-15 17:55:38, 2, photo, 3, 0, 0
2011-02-15 19:11:13, 2, photo, 3, 0, 0
2011-02-15 19:20:37, 2, photo, 9, 8, 0
2011-02-15 21:43:17, 2, photo, 2, 0, 0
2011-02-16 19:57:18, 3, photo, 11, 0, 0
2011-02-16 22:29:02, 3, photo, 18, 7, 0
2011-02-17 19:37:09, 4, link, 0, 0, 0
2011-02-17 20:12:24, 4, link, 10, 0, 0
2011-02-17 22:04:55, 4, video, 8, 1, 0
2011-02-18 21:28:25, 5, photo, 4, 0, 0
2011-02-18 22:07:17, 5, video, 4, 0, 0
2011-02-21 16:17:48, 1, photo, 15, 0, 0
2011-02-22 20:31:45, 2, photo, 6, 2, 0
2011-02-22 21:21:26, 2, link, 1, 2, 0
2011-02-22 22:35:19, 2, link, 5, 0, 0
2011-02-23 15:26:49, 3, status, 3, 0, 0
2011-02-23 16:12:28, 3, video, 9, 2, 0
2011-02-23 20:15:40, 3, photo, 17, 3, 0
2011-02-24 20:31:53, 4, video, 2, 0, 0
2011-02-24 22:23:04, 4, link, 3, 2, 0
2011-02-24 23:19:37, 4, photo, 1, 1, 0
2011-02-25 20:54:34, 5, link, 1, 0, 0
2011-02-25 20:55:17, 5, video, 7, 3, 0
2011-02-25 21:23:10, 5, photo, 8, 3, 0
2011-02-28 21:42:33, 1, video, 2, 0, 0
2011-03-01 17:14:27, 2, photo, 15, 11, 0
2011-03-01 23:01:06, 2, video, 7, 1, 0
2011-03-02 17:42:11, 3, video, 2, 0, 0
2011-03-02 21:16:17, 3, link, 2, 0, 0
2011-03-02 22:37:06, 3, link, 0, 0, 0
2011-03-03 17:57:37, 4, video, 4, 2, 0
2011-03-03 19:59:14, 4, link, 1, 1, 0
2011-03-03 20:43:30, 4, photo, 13, 0, 0
2011-03-03 22:34:36, 4, video, 10, 1, 0
2011-03-03 23:46:03, 4, status, 0, 0, 0
2011-03-04 14:57:38, 5, status, 2, 0, 0
2011-03-04 16:10:57, 5, link, 1, 0, 0
2011-03-04 21:34:39, 5, photo, 2, 0, 0
2011-03-04 21:43:42, 5, photo, 2, 0, 0
2011-03-04 21:45:41, 5, photo, 2, 9, 0
2011-03-04 22:12:07, 5, photo, 9, 5, 0
2011-03-04 22:15:47, 5, link, 2, 0, 0
2011-03-05 16:07:31, 6, status, 1, 1, 0
2011-03-05 17:20:11, 6, video, 1, 0, 0
2011-03-05 17:26:35, 6, photo, 1, 0, 0
2011-03-05 17:29:09, 6, photo, 3, 0, 0
2011-03-07 20:49:37, 1, video, 5, 3, 0
2011-03-07 22:42:39, 1, video, 5, 2, 0
2011-03-08 01:11:03, 2, photo, 0, 0, 0
2011-03-08 01:13:31, 2, photo, 3, 3, 0
