,date, change,weekend, coverphoto, event, link, photo, question, status, swf, video,coverphoto_reactions,coverphoto_comments,coverphoto_shares,event_reactions,event_comments,event_shares,link_reactions,link_comments,link_shares,photo_reactions,photo_comments,photo_shares,question_reactions,question_comments,question_shares,status_reactions,status_comments,status_shares,swf_reactions,swf_comments,swf_shares,video_reactions,video_comments,video_shares
0,2010-05-31,908,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1273,0,0
1,2010-06-02,916,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371,0,0
2,2010-06-04,1076,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2010-06-07,1394,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2010-06-08,2075,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1170,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2010-06-09,3927,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,685,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2010-06-11,774,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2068,130,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2010-06-14,31764,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1186,67,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2010-06-15,31777,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1038,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2010-06-16,30023,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,121,0
10,2010-06-18,2406,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3570,298,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2010-06-22,11661,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2056,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2010-06-23,3013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1312,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2010-06-25,25619,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3316,444,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2010-06-28,10677,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3755,346,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2010-06-29,10205,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1377,174,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2010-06-30,15134,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5977,551,0,0,0,0,0,0,0,0,0,0,0,0,0
