,date, change,weekend, coverphoto, event, link, photo, question, status, swf, video,coverphoto_reactions,coverphoto_comments,coverphoto_shares,event_reactions,event_comments,event_shares,link_reactions,link_comments,link_shares,photo_reactions,photo_comments,photo_shares,question_reactions,question_comments,question_shares,status_reactions,status_comments,status_shares,swf_reactions,swf_comments,swf_shares,video_reactions,video_comments,video_shares
0,2012-10-25,5,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,61,16,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
1,2012-10-26,2,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
2,2012-10-29,4,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,56,7,3,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
3,2012-10-30,8,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,17,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
4,2012-10-31,7,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,25,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
5,2012-11-01,2,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,14,1,1
6,2012-11-02,2,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
7,2012-11-06,1,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,57,0,12,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
8,2012-11-07,6,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
9,2012-11-08,2,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
10,2012-11-09,3,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,28,1,2,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
11,2012-11-12,4,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,42,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
12,2012-11-13,8,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,32,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
