,date, change,weekend, coverphoto, event, link, photo, question, status, swf, video,coverphoto_reactions,coverphoto_comments,coverphoto_shares,event_reactions,event_comments,event_shares,link_reactions,link_comments,link_shares,photo_reactions,photo_comments,photo_shares,question_reactions,question_comments,question_shares,status_reactions,status_comments,status_shares,swf_reactions,swf_comments,swf_shares,video_reactions,video_comments,video_shares
0,2010-09-28,11994,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,3032,195,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
1,2010-09-29,13594,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,0,3717,166,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
2,2010-09-30,14306,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,0,8442,715,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
3,2010-10-02,17654,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,2863,138,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
4,2010-10-04,14677,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,3690,160,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
5,2010-10-05,13522,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,0,5095,214,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
6,2010-10-06,17578,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,0,4976,173,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
7,2010-10-07,16066,0,0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,2583,186,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2348,90,0
8,2010-10-08,15442,0,0,0,4,1,0,0,0.0,0,0,0,0,0,0,0,6834,341,0,2104,82,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
9,2010-10-10,17498,1,0,0,4,0,0,0,0.0,0,0,0,0,0,0,0,8267,457,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
10,2010-10-11,15385,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,27799,1673,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
11,2010-10-12,21736,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,0,5138,193,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
12,2010-10-15,22833,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,2261,110,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
13,2010-10-16,23554,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,2505,190,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
14,2010-10-17,22124,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,2046,230,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
15,2010-10-18,18382,0,0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,1868,113,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3087,172,0
16,2010-10-19,16699,0,0,0,2,0,0,0,0.0,1,0,0,0,0,0,0,5283,475,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2977,91,0
17,2010-10-21,12840,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,6344,217,0
