,date, change,weekend, coverphoto, event, link, photo, question, status, swf, video,coverphoto_reactions,coverphoto_comments,coverphoto_shares,event_reactions,event_comments,event_shares,link_reactions,link_comments,link_shares,photo_reactions,photo_comments,photo_shares,question_reactions,question_comments,question_shares,status_reactions,status_comments,status_shares,swf_reactions,swf_comments,swf_shares,video_reactions,video_comments,video_shares
0,2011-01-26,4,0,0,0.0,3,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,33,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
1,2011-01-27,7,0,0,0.0,0,2,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,259,37,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
2,2011-01-28,3,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,37,6,0
3,2011-01-29,2,1,0,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,21,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
4,2011-01-31,5,0,0,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,16,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
5,2011-02-01,7,0,0,0.0,1,0,0,0,0.0,2,0,0,0,0.0,0.0,0.0,12,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,49,4,0
6,2011-02-02,13,0,0,0.0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,11,20,0,0.0,0.0,0.0,0,0,0
7,2011-02-03,-3,0,0,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,18,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
8,2011-02-07,3,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,26,5,0
9,2011-02-08,5,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,19,7,0
10,2011-02-09,7,0,0,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,10,12,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
11,2011-02-10,-1,0,0,0.0,2,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,46,12,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
12,2011-02-11,0,0,0,0.0,0,2,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,84,8,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
13,2011-02-15,-2,0,0,0.0,2,0,0,0,0.0,1,0,0,0,0.0,0.0,0.0,34,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,20,1,0
14,2011-02-16,-1,0,0,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,22,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
15,2011-02-17,3,0,0,0.0,1,1,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,74,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
16,2011-02-19,10,1,0,0.0,0,0,0,0,0.0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,33,7,0
17,2011-02-20,6,1,0,0.0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
18,2011-02-21,3,0,0,0.0,1,1,0,0,0.0,0,0,0,0,0.0,0.0,0.0,12,0,0,31,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
19,2011-02-22,25,0,0,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,19,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
20,2011-02-25,42,0,0,0.0,2,1,0,0,0.0,0,0,0,0,0.0,0.0,0.0,33,3,0,56,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
21,2011-02-28,23,0,0,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,20,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
22,2011-03-02,57,0,0,0.0,1,1,0,0,0.0,0,0,0,0,0.0,0.0,0.0,29,0,0,112,17,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
23,2011-03-03,26,0,0,0.0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
24,2011-03-04,-5,0,0,0.0,1,1,0,0,0.0,0,0,0,0,0.0,0.0,0.0,27,0,0,21,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
25,2011-03-06,27,1,0,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,25,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
26,2011-03-08,-3,0,0,0.0,1,1,0,0,0.0,0,0,0,0,0.0,0.0,0.0,14,1,0,59,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
27,2011-03-09,13,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,50,2,0
28,2011-03-10,16,0,0,0.0,1,1,0,0,0.0,0,0,0,0,0.0,0.0,0.0,19,7,0,49,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
29,2011-03-11,15,0,0,0.0,2,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,54,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
30,2011-03-13,14,1,0,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,17,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
31,2011-03-14,19,0,0,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,31,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
