,date, change,weekend, coverphoto, event, link, photo, question, status, swf, video,coverphoto_reactions,coverphoto_comments,coverphoto_shares,event_reactions,event_comments,event_shares,link_reactions,link_comments,link_shares,photo_reactions,photo_comments,photo_shares,question_reactions,question_comments,question_shares,status_reactions,status_comments,status_shares,swf_reactions,swf_comments,swf_shares,video_reactions,video_comments,video_shares
0,2011-03-08,15100,0,0,0.0,0,0,0,1,0.0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,232,91,0,0.0,0.0,0.0,461,83,0
1,2011-03-10,14693,0,0,0.0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,633,134,0,0.0,0.0,0.0,0,0,0
2,2011-03-11,13596,0,0,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,418,56,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
3,2011-03-14,4164,0,0,0.0,0,1,0,1,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1197,136,0,0,0,0,436,110,0,0.0,0.0,0.0,0,0,0
4,2011-03-16,5454,0,0,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,481,39,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
5,2011-03-17,6910,0,0,0.0,0,1,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,860,82,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
6,2011-03-18,7068,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,455,51,0
7,2011-03-21,5517,0,0,0.0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
8,2011-03-22,6487,0,0,0.0,0,0,0,0,0.0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1226,197,0
9,2011-03-23,5706,0,0,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,262,15,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
10,2011-03-24,4649,0,0,0.0,0,2,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,975,101,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
11,2011-03-25,613,0,0,0.0,1,1,0,0,0.0,0,0,0,0,0.0,0.0,0.0,388,39,0,804,65,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
12,2011-03-27,654,1,0,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,205,14,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
13,2011-03-28,-87,0,0,0.0,0,1,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,488,61,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
14,2011-03-29,56,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,357,36,0
15,2011-03-30,73,0,0,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,176,8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
16,2011-03-31,-55,0,0,0.0,0,1,0,0,0.0,1,0,0,0,0.0,0.0,0.0,0,0,0,823,102,0,0,0,0,0,0,0,0.0,0.0,0.0,183,17,0
