,date, change,weekend, coverphoto, event, link, photo, question, status, swf, video,coverphoto_reactions,coverphoto_comments,coverphoto_shares,event_reactions,event_comments,event_shares,link_reactions,link_comments,link_shares,photo_reactions,photo_comments,photo_shares,question_reactions,question_comments,question_shares,status_reactions,status_comments,status_shares,swf_reactions,swf_comments,swf_shares,video_reactions,video_comments,video_shares
0,2010-06-02,985,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,11,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2010-06-03,971,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,665,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2010-06-04,890,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450,228,0
3,2010-06-09,818,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,329,0,0,0,0,0,0,0
4,2010-06-11,846,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,568,77,0,0,0,0,0,0,0,672,368,0,0,0,0,0,0,0
5,2010-06-12,591,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1863,251,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2010-06-14,706,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,861,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2010-06-15,711,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1363,133,0
8,2010-06-17,1233,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,840,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2010-06-20,-364,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738,830,0,0,0,0,0,0,0
10,2010-06-21,1022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574,96,0,0,0,0,0,0,0
