,date, change,weekend, coverphoto, event, link, photo, question, status, swf, video,coverphoto_reactions,coverphoto_comments,coverphoto_shares,event_reactions,event_comments,event_shares,link_reactions,link_comments,link_shares,photo_reactions,photo_comments,photo_shares,question_reactions,question_comments,question_shares,status_reactions,status_comments,status_shares,swf_reactions,swf_comments,swf_shares,video_reactions,video_comments,video_shares
0,2013-01-23,-4,0,1,0.0,0,1,0,0,0.0,0,26,3,2,0.0,0.0,0.0,0,0,0,130,27,20,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
1,2013-01-25,-3,0,0,0.0,0,1,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,11,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
2,2013-01-28,1,0,0,0.0,1,0,0,0,0.0,1,0,0,0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,9,0,0
3,2013-01-29,2,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,9,0,0
4,2013-01-30,0,0,0,0.0,0,1,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,16,3,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
5,2013-02-05,1,0,0,0.0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,14,15,0,0.0,0.0,0.0,0,0,0
6,2013-02-13,-1,0,0,0.0,1,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0,21,4,12,0,0,0,0,0,0,61,25,0,0.0,0.0,0.0,0,0,0
7,2013-02-14,-2,0,0,0.0,0,1,0,1,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,47,3,0,0,0,0,57,14,0,0.0,0.0,0.0,0,0,0
8,2013-02-15,-1,0,0,0.0,0,1,0,1,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,19,1,0,0,0,0,49,16,0,0.0,0.0,0.0,0,0,0
9,2013-02-18,-1,0,0,0.0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,47,12,0,0.0,0.0,0.0,0,0,0
10,2013-02-19,0,0,0,0.0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,15,0,0,0.0,0.0,0.0,0,0,0
11,2013-02-20,-3,0,0,0.0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,39,12,0,0.0,0.0,0.0,0,0,0
12,2013-02-21,-2,0,0,0.0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,51,11,0,0.0,0.0,0.0,0,0,0
13,2013-02-27,1,0,0,0.0,0,1,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,16,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
14,2013-02-28,0,0,0,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
