,date, change,weekend, coverphoto, event, link, photo, question, status, swf, video,coverphoto_reactions,coverphoto_comments,coverphoto_shares,event_reactions,event_comments,event_shares,link_reactions,link_comments,link_shares,photo_reactions,photo_comments,photo_shares,question_reactions,question_comments,question_shares,status_reactions,status_comments,status_shares,swf_reactions,swf_comments,swf_shares,video_reactions,video_comments,video_shares
0,2011-06-20,319,0,0,0.0,2,1,0.0,0,0.0,1,0,0,0,0.0,0.0,0.0,58,4,0,56,4,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,24,4,0
1,2011-06-21,323,0,0,0.0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,92,14,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
2,2011-06-22,354,0,0,0.0,2,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,66,8,0,118,25,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
3,2011-06-23,336,0,0,0.0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,51,6,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
4,2011-06-24,333,0,0,0.0,1,1,0.0,2,0.0,0,0,0,0,0.0,0.0,0.0,34,3,0,75,21,0,0.0,0.0,0.0,43,3,0,0.0,0.0,0.0,0,0,0
5,2011-06-25,383,1,0,0.0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,38,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
6,2011-06-27,350,0,0,0.0,2,2,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,38,5,0,72,10,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
7,2011-06-28,336,0,0,0.0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,36,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
8,2011-06-29,308,0,0,0.0,4,0,0.0,0,0.0,2,0,0,0,0.0,0.0,0.0,87,5,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,47,6,0
9,2011-06-30,340,0,0,0.0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,61,7,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
10,2011-07-01,360,0,0,0.0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,43,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
11,2011-07-02,359,1,0,0.0,2,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,97,3,0,70,7,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
12,2011-07-03,332,1,0,0.0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,84,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
13,2011-07-04,322,0,0,0.0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,75,11,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
14,2011-07-06,439,0,0,0.0,1,1,0.0,0,0.0,1,0,0,0,0.0,0.0,0.0,47,2,0,110,8,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,62,4,0
15,2011-07-09,606,1,0,0.0,0,3,0.0,1,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,292,21,0,0.0,0.0,0.0,69,3,0,0.0,0.0,0.0,0,0,0
16,2011-07-10,535,1,0,0.0,3,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,101,9,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
17,2011-07-11,413,0,0,0.0,3,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,91,5,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
18,2011-07-12,881,0,0,0.0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,35,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
19,2011-07-13,597,0,0,0.0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,54,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
20,2011-07-16,438,1,0,0.0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,53,9,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
21,2011-07-17,421,1,0,0.0,1,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,44,2,0,77,13,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
22,2011-07-18,481,0,0,0.0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,38,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
23,2011-07-19,534,0,0,0.0,1,1,0.0,2,0.0,0,0,0,0,0.0,0.0,0.0,62,1,0,76,6,0,0.0,0.0,0.0,102,0,0,0.0,0.0,0.0,0,0,0
24,2011-07-20,482,0,0,0.0,3,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,118,11,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
25,2011-07-23,484,1,0,0.0,1,0,0.0,0,0.0,1,0,0,0,0.0,0.0,0.0,49,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,103,17,0
26,2011-07-25,434,0,0,0.0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,68,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
27,2011-07-26,471,0,0,0.0,3,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,103,6,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
28,2011-07-30,501,1,0,0.0,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,346,43,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
29,2011-07-31,599,1,0,0.0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,160,17,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
30,2011-08-01,521,0,0,0.0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,51,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
31,2011-08-02,464,0,0,0.0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,32,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
32,2011-08-03,421,0,0,0.0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,140,22,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
33,2011-08-06,418,1,0,0.0,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,95,7,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
34,2011-08-07,557,1,0,0.0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,151,14,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
35,2011-08-08,488,0,0,0.0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,103,8,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
36,2011-08-09,465,0,0,0.0,3,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,169,14,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
37,2011-08-19,434,0,0,0.0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,54,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
38,2011-08-20,392,1,0,0.0,4,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,354,19,0,248,29,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
39,2011-08-21,422,1,0,0.0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,59,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
40,2011-08-22,396,0,0,0.0,4,0,0.0,0,0.0,1,0,0,0,0.0,0.0,0.0,262,28,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,167,22,0
41,2011-08-23,403,0,0,0.0,2,0,0.0,0,0.0,2,0,0,0,0.0,0.0,0.0,99,13,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,215,21,0
42,2011-08-24,424,0,0,0.0,3,1,0.0,0,0.0,2,0,0,0,0.0,0.0,0.0,212,21,0,126,8,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,148,8,0
43,2011-08-27,390,1,0,0.0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,54,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
44,2011-08-29,393,0,0,0.0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,64,7,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
45,2011-08-30,381,0,0,0.0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,53,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
46,2011-08-31,476,0,0,0.0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,64,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
47,2011-09-04,454,1,0,0.0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,91,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
48,2011-09-05,375,0,0,0.0,1,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,73,13,0,223,17,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
49,2011-09-06,277,0,0,0.0,3,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,210,14,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
50,2011-09-07,292,0,0,0.0,1,2,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,159,8,0,459,39,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
51,2011-09-10,322,1,0,0.0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,129,15,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
52,2011-09-11,295,1,0,0.0,3,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,218,9,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
53,2011-09-12,283,0,0,0.0,4,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,296,19,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
54,2011-09-14,294,0,0,0.0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,169,9,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
55,2011-09-16,295,0,0,0.0,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,173,8,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
56,2011-09-17,325,1,0,0.0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,57,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
57,2011-09-18,292,1,0,0.0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,50,5,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
58,2011-09-19,289,0,0,0.0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,185,17,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
59,2011-09-20,284,0,0,0.0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,207,16,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
60,2011-09-21,424,0,0,0.0,1,0,0.0,0,0.0,1,0,0,0,0.0,0.0,0.0,82,7,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,224,29,0
61,2011-09-25,259,1,0,0.0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,92,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
62,2011-09-26,292,0,0,0.0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,167,7,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
63,2011-09-27,286,0,0,0.0,2,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,176,8,0,344,35,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
64,2011-09-28,302,0,0,0.0,3,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,194,6,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
65,2011-10-03,227,0,0,0.0,3,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,284,12,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
66,2011-10-04,273,0,0,0.0,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,172,15,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
67,2011-10-05,436,0,0,0.0,0,2,0.0,1,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,185,1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
68,2011-10-06,322,0,0,0.0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,104,6,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
69,2011-10-07,281,0,0,0.0,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,82,12,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
70,2011-10-10,331,0,0,0.0,2,0,0.0,0,0.0,1,0,0,0,0.0,0.0,0.0,140,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,82,4,0
71,2011-10-11,428,0,0,0.0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,186,8,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
72,2011-10-12,472,0,0,0.0,2,0,0.0,1,0.0,0,0,0,0,0.0,0.0,0.0,102,0,0,0,0,0,0.0,0.0,0.0,143,9,0,0.0,0.0,0.0,0,0,0
73,2011-10-13,362,0,0,0.0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,187,12,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
74,2011-10-14,295,0,0,0.0,2,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,291,8,0,76,1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
75,2011-10-17,375,0,0,0.0,1,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,92,2,0,203,7,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
76,2011-10-18,379,0,0,0.0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,280,7,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
77,2011-10-19,382,0,0,0.0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,60,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
78,2011-10-20,305,0,0,0.0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,67,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
79,2011-10-21,299,0,0,0.0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,227,11,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
80,2011-10-24,413,0,0,0.0,3,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,239,6,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
81,2011-10-25,341,0,0,0.0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,238,10,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
82,2011-10-26,385,0,0,0.0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,249,11,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
83,2011-10-27,566,0,0,0.0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,79,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
84,2011-10-31,730,0,0,0.0,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,135,2,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
85,2011-11-01,797,0,0,0.0,1,1,0.0,1,0.0,0,0,0,0,0.0,0.0,0.0,140,5,0,230,13,0,0.0,0.0,0.0,160,19,0,0.0,0.0,0.0,0,0,0
86,2011-11-02,1052,0,0,0.0,3,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,285,2,0,109,1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
87,2011-11-03,966,0,0,0.0,4,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,341,26,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
88,2011-11-04,854,0,0,0.0,2,2,0.0,1,0.0,0,0,0,0,0.0,0.0,0.0,134,1,0,298,21,0,0.0,0.0,0.0,80,2,0,0.0,0.0,0.0,0,0,0
