,date, change,weekend, coverphoto, event, link, photo, question, status, swf, video,coverphoto_reactions,coverphoto_comments,coverphoto_shares,event_reactions,event_comments,event_shares,link_reactions,link_comments,link_shares,photo_reactions,photo_comments,photo_shares,question_reactions,question_comments,question_shares,status_reactions,status_comments,status_shares,swf_reactions,swf_comments,swf_shares,video_reactions,video_comments,video_shares
0,2010-12-19,6,1,0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1,2011-01-21,5,0,0,0.0,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2,2011-01-24,2,0,0,0.0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
3,2011-01-27,-6,0,0,0.0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,1,0
4,2011-02-02,3,0,0,0.0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,32,10,0,0,0,0,0,0,0,0,0,0,7,0,0
5,2011-02-08,4,0,0,0.0,2,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2011-02-11,13,0,0,0.0,1,1,0,0,0,1,0,0,0,0.0,0.0,0.0,4,2,0,36,12,0,0,0,0,0,0,0,0,0,0,3,0,0
7,2011-02-14,-1,0,0,0.0,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2011-02-17,0,0,0,0.0,2,0,0,0,0,1,0,0,0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
9,2011-02-23,9,0,0,0.0,0,1,0,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,17,3,0,0,0,0,3,0,0,0,0,0,9,2,0
10,2011-03-01,0,0,0,0.0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,15,11,0,0,0,0,0,0,0,0,0,0,7,1,0
11,2011-03-04,12,0,0,0.0,2,4,0,1,0,0,0,0,0,0.0,0.0,0.0,3,0,0,15,14,0,0,0,0,2,0,0,0,0,0,0,0,0
12,2011-03-07,10,0,0,0.0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0
13,2011-03-10,8,0,0,0.0,1,2,0,0,0,0,0,0,0,0.0,0.0,0.0,3,0,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2011-03-13,12,1,0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,3,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2011-03-16,7,0,0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2011-03-19,10,1,0,0.0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2011-03-22,11,0,0,0.0,0,2,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2011-03-25,26,0,0,0.0,1,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
19,2011-03-31,13,0,0,0.0,0,1,0,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0
20,2011-04-06,6,0,0,0.0,0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,6,0,0
21,2011-04-12,14,0,0,0.0,0,2,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2011-04-15,17,0,0,0.0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2011-04-18,21,0,0,0.0,1,1,0,0,0,1,0,0,0,0.0,0.0,0.0,2,0,0,27,8,0,0,0,0,0,0,0,0,0,0,16,1,0
24,2011-04-27,34,0,0,0.0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,6,0,0
